band_num,date_resighted,location,observer,status,comments,Brood instead of Resightings
1107-16308,24-05-1993,n09,RGC,no female,female returned after 22/5 but eggs cold,Resightings
1107-16308,25-05-1993,n09,RGC,eggs cold,female killed?,Resightings
1107-16309,N/A,N/A,N/A,N/A,N/A,Resightings
1107-16312,26-04-1993,p1,RGC,Paired,N/A,Resightings
1107-16312,14-05-1993,p6,RGC,Paired,N/A,Resightings
1107-16312,28-04-1993,1530,RGC,Paired,N/A,Resightings
1107-16320,17-05-1993,n12,JAN,9 eggs,N/A,Resightings
1107-16320,28-05-1993,n12,RGC,"""Additivisit""",N/A,Resightings
1107-16320,10-06-1993,n12,RGC,Pipped,N/A,Resightings
1107-16320,14-06-1993,n12,RGC,hatched,* looks like one didn't hatch + may have been eaten,Resightings
1107-16321,16-06-1993,n79,"BKW, RGC",on nest,9 eggs,Resightings
1107-16321,08-06-1993,n79,"BKW, RGC",on nest,mist net,Resightings
1107-16321,16-06-1993,n79,RGC,nest destroyed,N/A,Resightings
1107-16322,18-06-1993,n72,RGC,on nest,8 eggs,Resightings
1107-16322,27-06-1993,n72,RGC,on nest,8 eggs,Resightings
1107-16322,08-06-1993,n72,"BKW, RGC",on nest,trap set/duckling hatchig,Resightings
1107-16322,12-06-1993,n72,BKW,hatched + gone,8 eggs (hatched),Resightings
1107-16322,25-04-1994,Pd1 N side of island,RGC,Paired,"Shot January, 05 1995 Texas",Resightings
1107-16323,24-05-1994,W island,SWL,on nest,hatched - 1egg eaten at nest,Resightings
1107-16323,28-05-1994,N11,RGC,N/A,N/A,Resightings
1107-16323,19-06-1994,UNK,JF,1 duckling,@1000,Resightings
1107-16323,26-06-1994,South of Pd 5338,SWL,4 III's,@1452,Resightings
1107-16323,21-04-1995,Pd1 W Side,RGC,PR,N/A,Resightings
1107-16323,23-04-1995,Pd1 W Side,RGC,PR,2 YRS,Resightings
1107-16323,23-04-1995,Pd1 W Side,SWL,PR,N/A,Resightings
1107-16323,20-05-1995,Island Nest II 26,RGC,nesting 18d inc.,(Mauser 3007) island =~5m W of '94 nest site,Resightings
1107-16323,26-05-1995,Pd 86,RW,Paired,@1330,Resightings
1107-16323,16-05-1995,East side Pd1,SWL,Female,@1421,Resightings
1107-16323,30-06-1995,Pd90,SWL,7 IIb's,@1740,Resightings
1107-16323,20-07-1995,Pd90,RW,3 III,Full,Resightings
1107-16323,07-08-1995,Pd7144,SWL,2 male local,in baittrap STD 2977-78,Resightings
1107-16323,13-08-1995,Pd7144,N/A,III female,STD 2982 baittrap,Resightings
1107-16323,28-04-1996,Pd01,RGC,n/A,paired,Resightings
1107-16323,02-06-1996,N018 (w pd1),MG,7 hatched,N/A,Resightings
1107-16323,01-07-1996,Pd90,CDS,W 2IIc,@0915,Resightings
1107-16324,28-05-1994,N3,RGC,hatched,all hatched - one may have been eaten,Resightings
1107-16324,19-04-1995,N end Island,SWL,Pr.,N/A,Resightings
1107-16324,20-04-1995,SW end Pd1,RGC,Pr.,N/A,Resightings
1107-16324,23-04-1995,SE end Pd1,SWL,Pr.,N/A,Resightings
1107-16324,25-04-1995,S end Pd66,SWL,Pr.,@1904,Resightings
1107-16324,01-05-1995,N end Island,VL,Paired,N/A,Resightings
1107-16324,20-05-1995,Island N II 20,RGC,Nesting =~ 18d inc,N/A,Resightings
1107-16324,12-06-1995,Pd1,RGC,6 IC's,@0900,Resightings
1107-16324,17-06-1995,Pd1,RGC,6 IC's,@1115,Resightings
1107-16324,22-06-1995,East Pd1,SWL,6 IC's,@1862,Resightings
1107-16324,28-06-1995,Pd1,VL,6 IIb's,full @0927,Resightings
1107-16324,04-07-1995,Pd1,VL,6,@1200,Resightings
1107-16324,15-07-1995,Pd1,RGC,6 III's,@1330,Resightings
1107-16324,21-07-1995,Pd1 w,JH,6 III,Full,Resightings
1107-16324,23-04-1996,Pd1 N tip ISL,RGC,Pair,N/A,Resightings
1107-16324,15-05-1996,Pd1,JC,Pair,@1425,Resightings
1107-16324,18-05-1996,1W,STR,PR,@1452,Resightings
1107-16324,27-05-1996,1W,SWL,PR,@1549,Resightings
1107-16324,02-07-1996,Pd1 N west,RGC,PR,@1500,Resightings
1107-16324,27-07-1996,Pd20,MG,?,@1103,Resightings
1107-16324,16-07-1996,N share Isl,ALF,PR,@1251,Resightings
1107-16324,09-06-1996,CW side Pd1,SWL,PR,@1115   ,Resightings
1107-16324,30-06-1996,Pd20,STR,PR,@1741,Resightings
1107-16324,28-07-1996,Pd67,VL,alone,@1620,Resightings
1107-16324,25-04-1997,Pd1 N end,SWL,PR,@1251,Resightings
1107-16324,22-05-1997,N end in Pd1 uplands,"RGC, SWL",PR,@0900,Resightings
1107-16324,31-05-1997,Pd1,SWL,PR,@1119,Resightings
1107-16324,08-08-1997,Pd96,MG,2Ia-b,N/A,Resightings
1107-16324,22-10-1997,Pd1,SWL,W 3 male,1 famele @1551,Resightings
1107-16324,06-11-1997,Pd1,SWL,PR,@1355,Resightings
1107-16324,27-05-1994,Nest,N/A,N/A,N/A,Brood
1107-16324,28-05-1994,Pd125 N,N/A,N/A,N/A,Brood
1107-16324,29-05-1994,Pd125 S,N/A,N/A,N/A,Brood
1107-16324,31-05-1994,Pd125 S,N/A,N/A,@1629,Brood
1107-16324,01-06-1994,Pd125 S,N/A,N/A,@2005,Brood
1107-16324,04-06-1994,Pd125 S,N/A,N/A,@1202,Brood
1107-16324,05-06-1994,Pd125 S,N/A,N/A,@1001,Brood
1107-16324,06-06-1994,SE Pd125 S,N/A,N/A,N/A,Brood
1107-16324,07-06-1994,Pd125 S OR N,SWL,N/A,@1656,Brood
1107-16324,08-06-1994,Pd125 S OR N,N/A,N/A,afternoon,Brood
1107-16324,09-06-1994,Pd125 S OR N,N/A,N/A,morning,Brood
1107-16324,09-06-1994,Brood Pd125 - no sight,N/A,N/A,N/A,Brood
1107-16324,14-06-1994,Pd125 N,SWL,N/A,@1140,Brood
1107-16324,14-06-1994,Pd125 N,VL,N/A,@1626,Brood
1107-16324,16-06-1994,Pd125 N or S,N/A,N/A,@1925,Brood
1107-16324,17-06-1994,Pd125 N or S,N/A,N/A,morning,Brood
1107-16324,18-06-1994,Pd125 N,"LH, JF",N/A,@1845,Brood
1107-16324,19-06-1994,Pd125 N,"JF,LH,MC",N/A,@1140,Brood
1107-16324,21-06-1994,S end Pd125,N/A,N/A,@0950,Brood
1107-16324,23-06-1994,Pd125 N (0733-0909),VL,N/A,@0909,Brood
1107-16324,23-06-1994,Pd125 N,VL,N/A,@0950,Brood
1107-16324,24-06-1994,Pd125 N,N/A,N/A,@1650,Brood
1107-16324,30-06-1994,E side Pd125 N,MC,N/A,@1638,Brood
1107-16324,01-07-1994,Pd125 N,MC,N/A,@1402,Brood
1107-16324,02-07-1994,Pd125 S,MC,N/A,@1324,Brood
1107-16324,03-07-1994,Pd124 (visual),MC,N/A,@1135,Brood
1107-16324,04-07-1994,Pd124,JF,N/A,@1815,Brood
1107-16324,06-07-1994,Pd124,MC,N/A,@930,Brood
1107-16324,06-07-1994,Pd124,MC,N/A,@0945-1145,Brood
1107-16324,09-07-1994,Pd97,SL,N/A,@1903,Brood
1107-16324,15-07-1994,NE end of Pd97,"MD, STR",N/A,@1535,Brood
1107-16324,16-07-1994,Pd97,MC,N/A,@1020,Brood
1107-16324,20-07-1994,E side Pd97,N/A,N/A,@1640,Brood
1107-16324,23-07-1994,Pd97,JF,N/A,@1516,Brood
1107-16324,24-07-1994,Pd97,"JF,VL",N/A,@1324,Brood
1107-16324,25-07-1994,AWOL,SL,N/A,N/A,Brood
1107-16324,26-07-1994,AWOL,SL,N/A,N/A,Brood
1107-16324,28-07-1994,AWOL,SL,N/A,N/A,Brood
1107-16324,31-07-1994,AWOL,"MC,LH",N/A,N/A,Brood
1107-16324,01-08-1994,AWOL,"MC,LH",N/A,N/A,Brood
1107-16324,08-08-1994,AWOL,"MC,LH",N/A,N/A,Brood
1107-16325,29-05-1994,N17,RGC,hatched,2 - 3 hatched several eggs eaten at nest,Resightings
1107-16325,07-06-1994,W of  Pd25,SL,N/A,@1600,Brood
1107-16325,07-07-1994,Pd25 vicinity,VL,N/A,@1512,Brood
1107-16325,09-07-1994,E of pd35 22m. E of nest II 17,SL,N/A,@1448,Brood
1107-16325,10-07-1994,E of pd35,SL,N/A,@1053-1200,Brood
1107-16325,12-07-1994,on nest E of pd35,??,N/A,@1417,Brood
1107-16325,13-07-1994,on nest E of pd35,??,N/A,@1130,Brood
1107-16325,14-07-1994,N of pd35,"MC, VL",N/A,@1632,Brood
1107-16325,17-07-1994,NE of pd35,RGC,N/A,@1030,Brood
1107-16325,19-07-1994,NE of pd35,SL,N/A,@1035,Brood
1107-16325,21-07-1994,ON NEST,N/A,N/A,@1520,Brood
1107-16325,22-07-1994,ON NEST,N/A,N/A,@1550,Brood
1107-16325,23-07-1994,ON NEST,JF,N/A,@1458,Brood
1107-16325,24-07-1994,ON NEST,"JF, VL",N/A,@1100,Brood
1107-16325,25-07-1994,NEST AREA,SL,N/A,@1254,Brood
1107-16325,26-07-1994,NEST AREA,SL,N/A,@1213,Brood
1107-16325,27-07-1994,pd35 alone,RGC,visual,@1420,Brood
1107-16325,28-07-1994,NEST AREA,SL,N/A,@1052,Brood
1107-16325,28-07-1994,pd26,SL,N/A,@1415,Brood
1107-16325,29-07-1994,NE of pd35 (ON NEST),SL,N/A,@1158,Brood
1107-16325,29-07-1994,NE of pd35 (ON NEST),SL,N/A,@1800,Brood
1107-16325,31-07-1994,on SE end Pd26,N/A,N/A,@1900,Brood
1107-16325,01-08-1994,Midway between PD67+66,MC?,N/A,@1345,Brood
1107-16325,02-08-1994,Pd67,MD,N/A,@0800,Brood
1107-16325,02-08-1994,Pd67,MD,N/A,@1230-1400,Brood
1107-16325,03-08-1994,SE Pd67,SL,N/A,@1050,Brood
1107-16325,04-08-1994,SW Pd67,RGC,N/A,@1815,Brood
1107-16325,07-08-1994,SE Pd67,"JF, MD",N/A,@1138,Brood
1107-16325,08-08-1994,S end Pd67 (possiby in uplands),SL,N/A,@1044,Brood
1107-16325,09-08-1994,S end Pd67,SL,N/A,@1137,Brood
1107-16325,09-08-1994,N end Pd67,SL,N/A,@1216,Brood
1107-16325,12-08-1994,N end Pd67,SL,N/A,@1158,Brood
1107-16325,13-08-1994,Pd67,SL,N/A,AFTERNOON,Brood
1107-16325,14-08-1994,Pd67,SL,N/A,@1254,Brood
1107-16325,15-08-1994,Pd67,SL,N/A,@1446,Brood
1107-16325,16-08-1994,Pd67,SL,N/A,AFTERNOON,Brood
1107-16325,18-08-1994,Pd67 CW side,SL,N/A,@1345,Brood
1107-16325,19-08-1994,Pd67,SL,N/A,@1555,Brood
1107-16325,20-08-1994,Pd67,SL,N/A,@1451,Brood
1107-16325,21-08-1994,Pd67,SL,N/A,@1431,Brood
1107-16325,23-08-1994,Pd67,SL,N/A,@1130-1220,Brood
1107-16325,24-08-1994,Pd67,SL,N/A,N/A,Brood
1107-16325,25-08-1994,Pd67 SW end,SL,N/A,@1327,Brood
1107-16325,29-08-1994,Pd67 N end,SL,N/A,@1046,Brood
1107-16325,31-08-1994,Pd67 NE side,SL,N/A,@1551,Brood
1107-16325,01-09-1994,Pd67 NE side,SL,N/A,@1117,Brood
1107-16325,02-09-1994,Pd67 N,SL,N/A,@1218,Brood
1107-16325,06-09-1994,Pd67 CENTER,SL,N/A,@1522,Brood
1107-16325,07-09-1994,Pd67,SL,N/A,@1702,Brood
1107-16325,08-09-1994,Pd67,SL,N/A,@1702,Brood
1107-16326,06-06-1994,N62,SL/JF/SR,Starred,N/A,Resightings
1107-16326,07-06-1994,N62,SL/JF/SR,Pipped,# = 9,Resightings
1107-16326,20-04-1995,Pd1 N site,RGC,3 male's,N/A,Resightings
1107-16326,25-04-1995,N end Pd1,SWL,PR,@1830,Resightings
1107-16326,26-04-1995,S end island,RGC,Paired,N/A,Resightings
1107-16326,04-05-1995,S end Pd1,RGC,Pr,N/A,Resightings
1107-16326,19-05-1995,East side Pd1,RGC,Pair,@1445,Resightings
1107-16326,20-05-1995,SE side Pd1,RGC,Pair,@1000,Resightings
1107-16326,16-05-1995,SW end of Pd1,SWL,Pair,@1414,Resightings
1107-16326,25-05-1995,Pd1,SWL,Pair,@1634,Resightings
1107-16326,27-05-1995,Pd1 S end,SWL,Pr,@1030,Resightings
1107-16326,06-06-1995,Pd1 ,SWL,Pr,@1548,Resightings
1107-16326,26-06-1995,N est 125,RGC et al,Trap,@?,Resightings
1107-16326,26-06-1996,island,N/A,N/A,removed implant - hatched 1,Resightings
1107-16326,23-05-1997,N146 island,N/A,incubating 9eggs,8 hatched,Resightings
1107-16326,23-07-1997,Pd 90,STR,c4IIB's,N/A,Resightings
1107-16326,25-06-1998,N 195 ISL,N/A,9 hatch,"Missing tagiing, Females lost nasal tags/replaced.",Resightings
1107-16326,04-06-1994,NEST AREA,N/A,N/A,@1200,Brood
1107-16326,05-06-1994,on island,N/A,N/A,@1005,Brood
1107-16326,06-06-1994,Island,N/A,N/A,N/A,Brood
1107-16326,07-06-1994,Island,SWL,N/A,@1430,Brood
1107-16326,08-06-1994,Island,SWL,N/A,Mid afternoon,Brood
1107-16326,09-06-1994,Island,SWL,N/A,@0905,Brood
1107-16326,14-06-1994,SW end Island ,SWL,N/A,@1105,Brood
1107-16326,16-06-1994,SE Island,SWL,N/A,@1952,Brood
1107-16326,17-06-1994,NE end Pd1,N/A,N/A,morning,Brood
1107-16326,17-06-1994,no sighting,SWL,N/A,@1115-1243,Brood
1107-16326,17-06-1994,no sighting,MD,N/A,@1445-1615,Brood
1107-16326,18-06-1994,NE end Pd1 no sighting,JF/LH,N/A,@1805,Brood
1107-16326,19-06-1994,Just off the SE end of Island,N/A,N/A,@1105,Brood
1107-16326,20-06-1994,S end of Pd1,N/A,N/A,@1700,Brood
1107-16326,21-06-1994,Pd1 SW end,N/A,N/A,@0800,Brood
1107-16326,23-06-1994,Pd1 W end and SE side,N/A,N/A,@1800-1930,Brood
1107-16326,24-06-1994,Pd1 NE side,N/A,N/A,@16454,Brood
1107-16326,25-06-1994,Pd6? no sight,JF,N/A,@1735,Brood
1107-16326,27-06-1994,Pd1 central east side ,SL,N/A,@0923,Brood
1107-16326,28-06-1994,Pd1 NE side,JF,N/A,@0800,Brood
1107-16326,30-06-1994,NW side Pd1,N/A,N/A,@1537,Brood
