band_num,date_resighted,location,observer,status,comments,Other notes: there are sometimes handwritten notes such as the one in this binder before page 49
1447-40361,1990-06-21,pd 35,ABD,paired,NA,
1447-40361,1990-06-06,nest 009,MG,25 days inc.,NA,
1447-40361,1990-06-08,nest 009,CJF,pipped,(Hatch),
1447-40361,1990-06-09,nest 009 ,CJF,5 cracked from eggs,(Hatch),
1447-40361,1990-08-16,pd 65,RDD,w/ 146 mallards,NA,
1447-40361,1991-06-08,Nest 8,RGC,captured on nest,(Hatch),
1447-40361,1992-05-14,pd 10,RDD,alone,NA,
1447-40361,1992-07-06,pd 1,RGC,8 IIB,NA,
1447-40361,1992-07-13,pd 1,RDD,8 III,NA,
1447-40361,1992-07-30,pd 1 ,RGC,8 III,NA,
1447-40361,1992-05-27,nest #1,NA,NA,NA,
1447-40361,1993-04-15,pd 1 ,RGC,paired,NA,
1447-40361,1993-04-15,pd 1 W,RGC,paired,NA,
1467-52216,1991-06-13,nest 16 ,RGC,captured on nest 838 g Wing = 275 HB =112.2,Hatched 15 June 1991,
1467-52216,1991-07-04,pd 66,RGC,paired,NA,
1467-52216,1992-05-27,pd 4857,RDD,paired,NA,
1467-52216,1992-05-27,nest #4,RDD,NA,Captured on nest 802 g - escaped; sticky note: probable TBL?,
1467-52217,1990-08-16,pd 65,RDD,w/ 146 mallards,NA,
1467-52217,1998-12-05,"Trenton, Kentucky",NA,female shot,(No tags on female in 98); sticky note: 99 update 1467-52217 female shot 5 Dec 98,
1467-52219,1990-06-09,pd 1 E,RGC,10 IA's,NA,
1467-52219,1990-06-10,pd 1,RDD,4 IA's ,NA,
1467-52219,1990-06-15,pd 1 E,RGC,7 IB's,NA,
1467-52219,1990-06-21,pd 1 E,RDD,4 IB's,NA,
1467-52219,1990-06-22,pd 1 E,RDD,~ 7 IB's,NA,
1467-52219,1990-06-26,pd 1 W,RGC,6 IB's,NA,
1467-52219,1990-06-27,pd 1,RDD,6 IB's,NA,
1467-52219,1990-07-01,pd 1 E,RGC,6 IC's ,NA,
1467-52219,1990-07-03,pd 1,CJF,6 IC's,NA,
1467-52219,1990-07-06,pd 1 E ,RGC,6 IIA's,NA,
1467-52219,1990-07-08,pd 1 W,RDD,6 IIA's,NA,
1467-52219,1990-07-16,pd 1 E,RDD,6 IIA's,NA,
1467-52219,1990-07-19,pd 1 W,GCG,6 IIB's,NA,
1467-52219,1990-07-23,pd 1 E,CFJ ,6 IIB,NA,
1467-52219,1990-07-30,pd 1 E ,RDD,6 IIC's -III's,NA,
1467-52219,1990-08-09,pd 1 E,RGC,6 III's ,NA,
1467-52219,1991-04-25,pd 1 W,RGC,paired ,NA,
1467-52219,1991-05-30,nest #6 ,RGC,hatched,10 ducklings web tagged,
1467-52219,1991-06-03,pd 1 N,BKW ,w/ 10 IA's,NA,
1467-52220,1991-04-11,pd 79 E,RGC,paired,NA,
1467-52220,1991-04-25,pd 79 E,RGC,paired ,NA,
1467-52221,1990-07-08,pd 65,RGC,alone,NA,
1467-52222,NA,NA,NA,NA,no data ,
1467-52223,1990-08-16,pd 4857,RDD,alone,NA,
1467-52223,1991-04-11,pd 4857,RGZ,paired,NA,
1467-52223,1991-04-13,pd 4857,RGZ,paired,NA,
1467-52223,1991-05-15,on nest ,MG,NA,NA,
1467-52223,1991-05-29,on nest ,RDD,NA,nest 5 (hatched)- captured ,
1467-52223,1991-09-04,pd 79 E,RGC,NA,bait trapped,
1467-52223,1994-06-16,on nest (NW of quanset) *see attached brood OBS. form,MD/SWL,NA,Mist netted (mauser) nasals refilled (BR triangle BR traingle reused),
1467-52224,1991-04-18,pd 65 s,RGC,paired,NA,
1467-52225 ,NA,NA,NA,NA,NA,
1467-52226,1990-07-08,pd 65,RGC,alone,NA,
1467-52227,1993-11-28,"Leshara, Nebraska",hunter,shot,"sitcky note: ""shot update""",
1467-52228,NA,NA,NA,NA,NA,
1467-52229,NA,NA,NA,NA,NA,
1467-52230,NA,NA,NA,NA,NA,
1467-52233,1990-08-09,pd 1 E,RGC,w/ 5 sibilings and mother (green circle orange y),NA,
1467-52233,1990-08-16,pd 1 W,CJF,w/ 5 sibilings and mother (green circle orange y),NA,
1467-52233,1992-06-11,pd 1 ,RDD,pair,NA,
1467-52233,1992-06-15,pd 1 ,RGC,pair,NA,
1467-52233,1992-06-22,pd 1,RGC,alone,NA,
1467-52233,1992-06-24,pd 1,RGC,NA,NA,
1467-52233,1992-07-06,pd 1 ,RGC,alone,"(Note"" mother is green circle orange y, 1467-52219)",
1467-52233,1992-06-24,nest 184,RGC,nest 184,NA,
1467-52237,NA,NA,NA,NA,NA,
1467-52409,1991-05-10,pd 66,RDD,paired,,
1467-52409,1991-05-17,pd 65 s,RGC,paired,,
1467-52409,1991-07-06,on nest 75,RDD,captured 885g wing 271 HB 108.2,SHOT 28/12/91 in Arkansas,
1467-52472,1992-05-23,N of pd 25,?,Dead?,Being eaten by harriers! (Sticky note: update survival dataset Kevin Dufour?),
1467-52446,1992-05-12,pd 113,BKW,paired,NA,
1467-52419,1991-06-20,pd 26,RGC,alone,NA,
1467-52419,1992-05-01,pd 26,RGC,pair,NA,
1467-52465,1992,nest 21 (island),RGC and others,NA,NA,
1467-52465,1993-04-09,pd 1 ,RGC,paired,NA,
1467-52465,1993-04-15,pd 1 E,RGC,paired,NA,
1467-52465,1993-04-17,pd 1 SE,RGC,alone,NA,
1467-52465,1993-04-19,pd 1 E,KDW,paired,NA,
1467-52465,1993-04-22,pd 1,RGC,paired,NA,
1467-52465,1997-04-25,pd 1 W,SWL,PR,@ 1150,
1467-52243,NA,NA,NA,NA,NA,
1467-52271,NA,NA,NA,NA,NA,
1467-52298,1992-05-28,pd 17,RDD,paired,NA,
1467-52298,1992-06-01,nest 76,BKW,on nest,NA,
1467-52473,NA,NA,NA,NA,NA,
1467-52476,NA,NA,NA,NA,NA,
1467-52477,1992-05-23,pd 25,RDD,DEAD,EATEN BY HARRIERS N OF PD 25,
1467-52474,NA,NA,NA,NA,NA,
1467-52475,1992-06-19,pd 1,RGC,alone,NA,
1467-52475,1992-07-06,pd 1,RGC,6 IA's ,NA,
1467-52475,1992-06-09,nest 132,SL,on nest ,NA,
1467-52475,1993-04-19,pd 1 W,KDW,paired,NA,
1467-52475,1993-04-20,pd 1 W,KDW,paired,NA,
1467-52475,1993-05-08,pd 1 SW,BWK et al.,on nest,8 eggs - hatched 28 May,
1467-52475,1993-05-22,nest 007,KGC,on nest ,Addit. check on nest (used scope),
1467-52475,1993-05-27,nest 007,BKW et al. ,on nest ,"Addit. visit - 8 eggs, 1 dead (pipped)",
1467-52475,1993-05-28,nest 007,RGC,hatched + gone,NA,
1467-52475,1993-05-29,pd 1 W,RGC,female - no brood seen,NA,
1467-52475,1993-06-06,pd 1 E,RGC,paired,NA,
1467-52475,1994-05-26,nest 2  (island),RGC,eggs starred,Addit. check - hatched 28 May. Had lost tags. Web tag CWS 438. *See attached brood obs form. ,
1467-52482,1992-04-17,pd 20 ,"Karla Gnyn, Jim Devries ",paired,NA,
1467-52482,1992-05-06,nest 7,RDD,nest,NA,
1467-52482,1992-06-11,pd 18,RDD,paired,NA,
1467-52482,1992-07-02,nest 203,RDD,on nest ,NA,
1467-52482,1993-06-16,pd 15,BKW,paired,NA,
1467-52482,1994-05-03,pd 20 (19:07 hrs),RGC,paired,walked into nest? (shrubs N end SE 20),
1467-52482,1994-05-05,SE pd 20 on road,UL,pr.,@ 1739,
1467-52480,1991-05-30,NATAL Nest #6 ,"RDD, BKW",hatched,mother is green circle orange y 1467-52219,
1467-52480,1991-07-18,pd 1 - PEN,RGC,banded releaseed following 2-3 weeks in pen,NA,
1467-52480,1992-04-17,pd 87,"Karla Gnyn, Jim Devries ",paired,NA,
1467-52480,1992,nest 22 island,NA,NA,hatched,
1467-52480,1992-05-27,pd 1,RDD,alone,NA,
1467-52480,1992-06-20,pd 1,RGC,alone,NA,
1467-52480,1993-04-17,pd 1 ,RGC,paired,NA,
1467-52480,1993-04-22,pd 1 ,RGC,paired,NA,
1467-52480,1993-05-08,nest 010,RGC et al. ,on nest ,10 eggs,
1467-52480,1993-05-14,nest 010,RGC,on nest,Addit. visit ,
1467-52480,1993-05-17,nest 010,BKW et al. ,on nest ,Addit. visit,
1467-52480,1993-05-27,nest 010 ,BWK et al.,on nest ,"hatching 10 eggs, one is late",
1467-52480,1993-05-28,nest 010,RGC,hatched and gone - 1 egg left ,NA,
1467-52480,1993-06-01,pd 1 W,RGC,w/ 5 Ib,NA,
1467-52480,1993-06-18,pd 1 E,RGC,no brood mentioned,NA,
1467-52480,1993-06-20,pd 1 E,RGC,w/ 4 IIa,NA,
1467-52480,1993-06-22,pd 1 E,RGC,w/ 3 IIa,NA,
1467-52480,1993-06-24,pd 1 W,BKW,no brood mentioned (at pd 1 W 3 Ia s seen without hen),NA,
1467-52480,1993-07-07,pd 1 S,BKW,w/ 4 II b,NA,
1467-52480,1993-07-13,pd 1 W,BKW,NA,NA,
1467-52480,1993-07-14,pd 1 W,BKW,w/ 4 II c,NA,
1467-52480,1993-07-24,pd 1 E,BKW,no mention of brood,NA,
1467-52480,1994-04-17,pd 1 NW,RGC,paired,NA,
1467-52480,1994-04-18,pd 1,RGC,paired,NA,
1467-52480,1994-05-04,nest 001,SWL,NA,hatched out 23 May 94 (see nest records). *In 1995 produced 2 recruits (Nest 3 and 62),
1467-52478,1992-05-12,pd 4,RDD,pair,NA,
1467-52478,1992-05-14,pd 1,RDD,pair,NA,
1467-52478,1992-05-11,pd 1 ,RDD,alone,NA,
1467-52478,1992-06-01,nest 79,BKW,on nest ,NA,
1467-52478,1998-06-02,pd 90,EMS,PR,@ 7:00,
1467-52481,NA,NA,NA,NA,NA,
