band_num,date_resighted,location,observer,status,comments,Other notes: there are sometimes handwritten notes such as the one in this binder before page 49
1357-20122,1984-08-22,p125,"MRM,JEG,JTJ",with 4 yng (IIa),"""4 yng (1 female and 3 males) caught by dogs and released unmarked and untagged""",
1357-20123,1984-05-25,p1,JEG,with male,NA,
1357-20125,1983-04-29,p1,EJW,with mate,NA,
1357-20129,NA,NA,NA,NA,there are no data entries on this page,
1357-20130,NA,NA,NA,NA,there are no data entries on this page,
1357-20132,1982-06-18,p25,NA,with mate,NA,
1357-20133,NA,NA,NA,NA,"""original tag lost-retrapped, remarked on 21 May 1985 refer to page 88""",
1357-20136,NA,NA,NA,NA,there are no data entries on this page,
1357-20139,1982-09-16,p66 0900,NA,NA,"""with yng male and ? age female"", random number beside pond number ",
1357-20139,1983-05-12,p25,JEG,with mate ,NA,
1357-20139,1986-06-04,n8 (8 eggs)(nest trapped),RGC,NA,"""lost original nasal tags, given new set and a yellow plastic leg band on left leg =24+ days incubation (weight 800g)",
1357-20139,1986-06-07,n8,RGC,DEAD,"""head ripped off, breast plucked, head cleaned off; eggs ok-nasal tags removed and to be reused""",
1357-20141,NA,NA,NA,NA,there are no data entries on this page,
1357-20143,1983-04-29,p26,EJW,with mate ,NA,
1357-20143,1983-05-20,p26,ROB,with mate ,NA,
1357-20143,1983-05-31,p26,JMS,with mate ,NA,
1357-20143,1983-06-01,p26,EJW,with mate ,NA,
1357-20143,1984-04-11,p26,EJW,with male,NA,
1357-20143,1984-04-13,p46,"EJW,MRM",with male ,"""male w/o leg band-female with leg band""",
1357-20143,1984-04-15,p26,MRM,with 3 males ,"""possible mate exchange- after female swan off with unmarked male, leg banded male flew over and lot male swam away-2nd unmarked male also joined- leg banded male drove him off- then all 3 began to interact- mild chaos, threats. 2 grunt-whistled, flight displays- a pair swarm by and lot unmarked male swam to them- he and paired drake raised bills and quacked- then lot male swam off- paired male stayed with female- males raised crest when female present- leg banded male who was threatened by female- male pecked at her but stayed near her-both sitting on veg at end of observ.",
1357-20143,1984-05-10,p26,"JMS,JTJ",with male,NA,
1357-20143,1984-05-11,p26,JEG,with male ,"""loafing in floating veg. in NE corner of slough""",
1357-20145,NA,NA,NA,NA,"""DEAD shot- Duck Lake, Sask. 2 Nov 1982""",
1357-20146,NA,NA,NA,NA,there are no data entries on this page,
1357-20110,1983-05-04,p25,EJW,with mate,NA,
1357-20110,1983-05-06,p25,EJW,alone,NA,
1357-20169,1983-05-09,p65,EJW,with mate ,NA,
1357-20169,1983-05-12,pond S of xroads,EJW,with mate ,NA,
1357-20169,1983-05-18,p65,JMS,with mate ,NA,
1357-20169,1984-04-15,p1,MRM,with mate,"""male has no leg band""",
1357-20169,1984-04-16,p65,MRM,with mate ,NA,
1357-20175,1983-05-16,p20,JMS,with mate ,NA,
1357-20175,1983-05-17,p26,NA,with mate ,NA,
1357-20175,1983-05-30,p20,JMS,with mate ,NA,
1357-20177,1983-05-16,p90,JMS,with mate ,NA,
1357-20177,1983-05-19,p90,JMS,with mate ,NA,
1357-20177,1983-06-20,p67,JMS,with mate ,NA,
1357-20177,1983-06-27,p67,JMS,with mate ,NA,
1357-20181,NA,NA,NA,NA,"""DEAD shot 12 Dec. 1983, Texas""",
1357-20197,1985-07-23,n148,"JMS,RGC",NA,"""Nest hatched 26 July '85, 8 young, young not web-tagged"".There is a sticky not attached: ""1985 update by EHD Feb 13/93""",
1237-46495,1983-06-13,p66,JMS,with male,NA,
1237-46495,1984-04-26,p26,MRM,with male ,"""male has band on right leg""",
1237-46495,1984-05-01,p79 W,"MRM,JEG",with male ,"""male has band on right leg""",
1237-46495,"1984-05-03, 0940",p79 W,MRM,with male ,NA,
1237-46495,"1984-05-03, 1238",p65,"MRM,JEG",with male ,"""male has band on right leg""",
1237-46495,1984-05-04,p79 W,JEG,with male ,"""male has band on right leg""",
1237-46495,1984-05-04,p79 W,MRM,with leg banded male,"""flew to pond #65""",
1237-46495,1984-05-05,p79 W,JEG,with male ,NA,
1237-46495,1984-05-10,p65,JEG,alone,"""this bird was probably flushed by another observer- she landed in the middle of #65 where yellow disc- yellow disc and her male were along the East shore- male with yellow disc-yellow disc swam toward this bird- she flushed and was followed by the male for a short distance- he circled back and landed beside his female- this female flew South-West- did not see where or if she landed""",
1237-46495,1984-05-14,p65,JEG,with male ,"""male charge 2 males, chased them in flight, retuned to female""",
1237-46495,1984-05-16,p65,"JEG,JTJ",with male ,NA,
1237-46495,1984-05-21,p79 W,JTJ,with male,NA,
1237-46495,1984-05-22,p66,MRM,NA,NA,
1237-46495,1984-05-25,p79 W,JMS,with male ,NA,
1237-46495,1984-06-01,p79 W,JEG,with male ,NA,
1237-46496,NA,NA,NA,NA,there are no data entries on this page,
1167-44221,1984-04-30,#50,MRM,with mate ,"""male with red tri-yellow tri chased marked female mall (yellow disc-yellow disc) - red tri-yellow tri quacked incessantly after male chased after marked female"" ",
1167-44221,1984-05-11,p50,JEG,with male,"""male sitting in open water a few feet from female who is loafing just inside edge vegetation-male frequently head pumping- male swam toward lone male who left general area - male returned to area near marked female""",
1167-44230,1983-09-27,#125,EJW,"in group of 7 males, 1 female",NA,
1167-44245,NA,NA,NA,NA,"""DEAD shot 1 Nov 1983, Minnesota""",
1167-44258,NA,NA,NA,NA,there are no data entries on this page,
1167-44271,NA,NA,NA,NA,there are no data entries on this page,
1167-44273,NA,NA,NA,NA,there are no data entries on this page,
