,band_num,species,SPECIES,DATE,EVENT,COORDINATES,LOCATION DESCRIPTION,NOTES FOR INTEREST,
151,865-18571+CB,Unknown,BWTE,7/31/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
152,865-18539+GCB,Unknown,BWTE,7/16/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
153,865-18742,Unknown,BWTE,8/20/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
154,865-18746,Unknown,BWTE,8/20/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
155,865-18536,Unknown,BWTE,7/16/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
156,865-18581,Unknown,BWTE,8/12/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
157,865-18589,Unknown,BWTE,8/12/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
158,865-18594,Unknown,BWTE,8/13/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
159,865-18596,Unknown,BWTE,8/13/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
160,865-18661+GCB,Unknown,BWTE,8/28/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
161,865-18763+GCB,Unknown,BWTE,8/22/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
162,865-18665+GCB,Unknown,BWTE,8/30/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
163,775-74198,Unknown,BWTE,7/23/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
164,865-18668+Gband,Unknown,BWTE,8/31/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
165,865-18675+RB,Unknown,BWTE,6/7/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
166,865-18678+RB,Unknown,BWTE,6/7/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
167,865-18679+RB,Unknown,BWTE,6/7/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
168,865-18680+RB,Unknown,BWTE,6/7/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
169,865-18684+RB,Unknown,BWTE,6/26/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
170,865-18686+RB,Unknown,BWTE,7/2/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
171,865-18689+RB,Unknown,BWTE,7/8/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
172,865-18690+RB,Unknown,BWTE,7/10/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Louisiana in 1988,
173,865-18691+RB,Unknown,BWTE,7/11/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
174,865-18700+RB,Unknown,BWTE,7/21/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
175,865-18805+RB,Unknown,BWTE,7/21/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
176,865-18833+RB,Unknown,BWTE,7/23/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
177,865-18834+RB,Unknown,BWTE,7/23/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
178,865-18878,Unknown,BWTE,8/27/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
179,865-18935,Unknown,BWTE,5/11/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
180,865-18940,Unknown,BWTE,6/13/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
181,865-18942,Unknown,BWTE,6/14/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
182,865-18943,Unknown,BWTE,6/17/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
183,865-18944,Unknown,BWTE,6/18/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
184,755-49218,Unknown,BWTE,6/6/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
185,755-49219,Unknown,BWTE,6/25/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
186,755-49220,Unknown,BWTE,6/28/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
187,755-49230,Unknown,BWTE,7/22/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
188,755-49285,Unknown,BWTE,7/29/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
189,755-49287,Unknown,BWTE,7/29/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
190,755-49297,Unknown,BWTE,8/8/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
191,755-49288,Unknown,BWTE,7/29/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
192,755-49294,Unknown,BWTE,8/8/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
193,755-49296,Unknown,BWTE,8/8/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
194,755-49308,Unknown,BWTE,8/10/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Colombia in 1989,
195,755-49377,Unknown,BWTE,8/3/1989,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
196,755-49385,Unknown,BWTE,8/3/1989,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
197,755-49369,Unknown,BWTE,8/3/1989,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
198,755-49350,Unknown,BWTE,7/6/1989,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
199,755-49348,Unknown,BWTE,6/20/1989,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
200,755-49253,Unknown,BWTE,7/25/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
201,755-49386,Unknown,BWTE,8/3/1989,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
202,755-49371,Unknown,BWTE,8/3/1989,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
203,755-49496+CB,Unknown,BWTE,,,,,,
204,755-49497,Unknown,BWTE,6/23/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
205,755-49247,Unknown,BWTE,7/25/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
206,755-49499,Unknown,BWTE,6/27/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
207,855-43201,Unknown,,,,,,,
208,855-43203,Unknown,,,,,,,
209,865-18850,Unknown,BWTE,8/16/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
210,865-18842,Unknown,BWTE,8/15/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
211,885-43219+CB,Unknown,BWTE,8/3/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
212,885-43221+CB,Unknown,BWTE,8/10/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
213,885-43222+CB,Unknown,BWTE,8/10/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
214,885-43223+CB,Unknown,BWTE,8/10/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
