band_num,date_resighted,location,observer,status,comments
775-74267,NA,NA,NA,NA,NA
775-74277,1985-08-27,p66,"RGC, JBI",NA,NA
775-74277,1985-08-28,p66,EHD,NA,"""in a large mixed species feeding flock, was in bait trap temporarily but swam out"""
775-74278,1985-08-27,p66,"RGC, JBI",NA,NA
775-74279,NA,NA,NA,NA,NA
775-74280,NA,NA,NA,NA,NA
775-74281,NA,NA,NA,NA,NA
775-74282,NA,NA,NA,NA,NA
775-74433,NA,NA,NA,NA,NA
775-74434,NA,NA,NA,NA,NA
775-74435,NA,NA,NA,NA,NA
775-74436,NA,NA,NA,NA,NA
775-74301,NA,NA,NA,NA,"""this bird banded 24 July 1985 as class IIB on pond #97. Colour-marked when recaptured 27 august"""
775-74457,NA,NA,NA,NA,NA
775-74458,NA,NA,NA,NA,NA
775-74460,1985-07-30,p7144,NA,NA,"""this bird web tagged (A-0294) 30 July 1985 at pond 7144 as class I"""
775-74465,NA,NA,NA,NA,NA
775-74463,1985-08-08,p8132,NA,NA,"""this bird web tagged 8august 1985 as class IIA on pond 8132 (TAG a-0911)"""
865-18504+CB,1986-06-20,n107,"RGC, JBI, AMT",nest hatched,"""11 ducklings, web tagged (A317-A327)"
865-18506+CB,1986-06-18,n27,"RGC, JBI",nest hatched,"""web-tagged ducklings (A0986,88,89;A0991-97)"""
865-18506+CB,1986-06-18,n27,"RGC, JBI",nest hatched,"""web-tagged ducklings (A0986,88,89;A0991-97)"""
865-18508+CB,1986-07-22,p56,AMT,with 2 III's,NA
865-18508+CB,1986-06-20,p56,AMT,with 10 class I's,NA
865-18509+CB,1986-07-02,p67,GCG,with 13 ducklings,NA
865-18509+CB,1986-07-11,p67,"RGC, GWB, AMT, JBI, JL",with 7 ducklings,"""female and brood captured in drive trap; 5 ducklings previously web tagged, IIa-A0323, Ic-A033, IIa-A0338, IIa-A0334,IIa-A0326, remaining 2 IIa's web tagged A0815, A0816"""
865-18509+CB,1986-06-21,n24,RGC,nest hatched,"""all 11 eggs hatched 8 ducklings web-tagged (A330-335. A337,338)"""
