 ,,,,date_resighted,location,observer,status,comments
596-68118,,,,NA,NA,NA,NA,NA
596-68119,,,,NA,NA,NA,NA,NA
596-68120,,,,NA,NA,NA,NA,NA
596-68121,,,,1990-07-08,nS22,NA,incubating ,NA
596-68112,,,,1990-07-08,nS21,NA,NA,NA
596-68112,,,,1991-07-05,n20,NA,NA,"""found dead 1991 on SE side PD 1"""
596-68123,,,,1989-07-19,E ISLAND PD1,NA,NA,
596-68123,,,,1991-07-28,NW66,NA,NA," ""nest 29 1991"""
596-68124,,,,1990-07-08,nS01,NA,NA,NA
596-68133,,,,1990-07-90,nS16,NA,NA,NA
596-68133,,,,1991-07-25,E PD 1 ,NA,NA,"""Nest-S-19"" "
596-68133,,,,1991-08-09,PD 1,NA,NA,
596-68172,,,,NA,NA,NA,NA,NA
596-68173,,,,1990-07-08,nS7,NA,NA,Year was missing from resighting date. We are going off of banding year.
596-68173,,,,1990-08-09,PD 1,NA,NA,Year was missing from resighting date. We are going off of banding year.; 
596-68182,,,,1990-07-25,SCAUP 12,NA,NA,We don't know location code meaning
596-68184,,,,1991-07-06,n23,NA,NA,NA
596-68184,,,,1994-07-27,NEPD1,"RGC/MD, SWL, VL",nest,"""nest 181"""
596-68184,,,,1995-05-09,Pd 67,SWL/KLH/LQA,PR,"""@1431"""
596-68184,,,,1995-05-11,Pd 67,STR/RW,PR,"""0920"""
596-68184,,,,1995-05-25,Pd 5338,SWL,PR,"""@1445"", ""> 6 years"""
596-68184,,,,1995-05-26,Pd 1 ,"SWL, RZ",PR,"""by beaver house"", ""@0906"""
596-68184,,,,1995-06-03,Pd 1,"RZ, SWL",PR,"""@0900"""
596-68184,,,,1995-06-05,Pd 1,"RZ, SWL",PR,"""@0900"""
596-68184,,,,1995-06-07,Pd 5338,SWL,PR,"""@1630"""
596-68184,,,,1995-06-07,Pd 79E,SWL,PR,"""@1526"""
596-68184,,,,1995-06-08,Pd 5338,GC,PR,"""@1815"""
596-68184,,,,1995-06-09,Pd 15,RGC,PR,"""@1130"""
596-68184,,,,1995-06-13,Pd 5338,SWL,PR,"""@1153"""
596-68184,,,,1996-05-15,Pd S of Pd,AJF,PR,"""@1800""; ""#5338"""
596-68184,,,,1996-07-11,Pd 1,SDR,PR,"""@1710"""
596-68184,,,,1998-05-11,Pd 97,SWL,PR,"""@1243"""
596-68184,,,,1998-05-12,Pd 125N,EMS,PR,"""@0930"""
596-68184,,,,1988-06-09,Pd 1,SWL,PR,"""@1148"""
596-68185,,,,1992-07-07,n15,NA,NA,"""D61 tagged see Nest S-8/92""; nest ""abandoned"""
596-68185,,,,1993-05-13,Pd1E,RGC,paired,NA
596-68185,,,,1993-05-19,Pd1E,RGC,paired,NA
596-68185,,,,1994-05-16,Pd5338,UNK,paired,NA
596-68185,,,,1994-06-03,Pd1,SWL,PR,"""@0900"""
596-68185,,,,1994-06-21,NWPd1,SWL/MC,PR,"""@1840"""
596-68185,,,,1994-06-27,NA,SWL/UL,PR,"""@1208 sitting on the muskrat house""; location: ""1 Section (mile) N of Study area, W side of road"""
596-68190,,,,NA,NA,NA,NA,NA
596-68191,,,,NA,NA,NA,NA,NA
596-68192,,,,1992-07-03,n17,NA,NA,NA
596-68192,,,,1993-04-15,NA,RGC,paired,"location: ""West of Bussiers""; ""(S of 90B)"""
596-68192,,,,1993-04-17,nPO1E,RGC,paired,NA
596-68192,,,,1993-04-22,90B,RGC,paired,NA
596-68192,,,,1993-04-30,Pd90B,RGC,paired,NA
596-68192,,,,1993-05-22,Pd1W,RGC,paired,NA
596-68192,,,,1993-06-24,Pd90A,NA,paired,NA
596-68193,,,,NA,NA,NA,NA,NA
596-68197,,,,1991-08-01,n28,NA,NA,NA
896-62827,,,,NA,NA,NA,NA,NA
896-62833,,,,NA,NA,NA,NA,NA
896-62834,,,,NA,NA,NA,NA,NA
896-62835,,,,NA,NA,NA,NA,"""male"""
896-62836,,,,NA,NA,NA,NA,NA
896-62837,,,,NA,NA,NA,NA,NA
896-62844,,,,NA,NA,NA,NA,NA
896-62846,,,,NA,NA,NA,NA,NA
896-62864,,,,NA,NA,NA,NA,NA
896-62865,,,,NA,NA,NA,NA,NA
896-62869,,,,NA,NA,NA,NA,NA
896-62872,,,,NA,NA,NA,NA,NA
896-62873,,,,NA,NA,NA,NA,NA
896-62874,,,,NA,NA,NA,NA,NA
896-62877,,,,NA,NA,NA,NA,NA
896-62878,,,,NA,NA,NA,NA,NA
896-62879,,,,NA,NA,NA,NA,NA
896-62882,,,,NA,NA,NA,NA,NA
896-62883,,,,1991-06-05,PD80,NA,NA,"""NEST 1"""
896-62883,,,,1994-06-20,SWEPd63,UL/MC/LH/SL,on nest,"""*put Nasal markers on""; ""nest 117"""
896-62883,,,,1994-06-27,Pd65,SL,2IA's,"""@1936""; 2 looks like a Z and ' looks like a 9"
896-62883,,,,1994-06-28,Pd65,SL,Pr,"""@1934"""
896-62883,,,,1994-07-01,Pd65,SR,2-IA's,"""@1737""; 2 looks like a Z and ' looks like a 9"
896-62883,,,,1994-07-04,Pd65,SL,2IB's Pr,"""@1024""; 2 looks like a Z and ' looks like a 9"
896-62883,,,,1994-07-06,UNK,RGC,2-IB's,"""@1930""; 2 looks like a Z and ' looks like a 9"
896-62883,,,,1994-07-09,Pd65,SL,2IB's Pr,"""@2044""; 2 looks like a Z and ' looks like a 9"
896-62883,,,,1994-07-11,Pd65,RGC,2IIA's,2 looks like a Z and ' looks like a 9
896-62883,,,,1994-07-14,Pd70,SR,PR,"""@0915"""
896-62883,,,,1994-07-17,Pd20,RGC/SL,alone,"""@1608"""
896-62883,,,,1994-07-12,Pd67,UL,Pr/copulating,"""@1107"""
896-62883,,,,1995-05-09,Pd65,SWL,PR,"""@1530""; ""5 years"""
896-62883,,,,1995-05-11,Pd65,RGC,PR,"""@0810""; ""5 years"""
896-62883,,,,1995-05-15,Pd65,SL,PR,"""5 years"""
896-62883,,,,1995-06-27,Pd65,JC,PR,"""@0925""; ""5 years"""
896-62883,,,,1995-06-10,NA,JC/RW,nesting,"""@1005""; location: ""dt nest # 287 (destroyed)""; ""5 years"""
896-62883,,,,1996-08-18,Pd71,SWL,W 7Ib,"""@1107"""
896-62883,,,,1996-08-19,NA,SF,W7IA's,"Location: ""?""; ' looks like a 9"
896-62883,,,,1996-08-22,Pd71,RGC,W7IB,"""@morning"""
896-62883,,,,1996-08-28,Pd65,RGC,W8IC,NA
896-62883,,,,1996-09-07,Pd67,RGC,W5IIB,"""See next page"" written at bottom of page but there was no related next page"
896-62883,,,,1998-05-03,pd125N,BB,pr,"""Sight good"""
896-62886,,,,NA,NA,NA,NA,"Band No: ""? ""885"""""
896-62899,,,,NA,NA,NA,NA,NA
896-62900,,,,NA,NA,NA,NA,NA
896-75101,,,,1995-08-01,n310,STR/RW,Hand grabbed at nest,"Location: ""E side Pd20""; > or = 5 years"
896-75101,,,,1995-08-03,Pd 20,STR,Alone,"""@1145""; > or = 5 years"
896-75101,,,,1995-08-05,Pd 20,SWL,Alone,"""@1937""; > or = 5 years"
896-75101,,,,1995-08-06,Pd 25,SWL,Alone,"""@1915""; > or = 5 years"
896-75101,,,,1995-08-07,Pd 20,SWL,Alone,> or = 5 years
896-75101,,,,1995-08-10,Pd 20,SWL,Alone,"""@1031""; > or = 5 years"
896-75101,,,,1995-08-15,Pd 20,SWL/STR,w(wty/wty female) Lesc,"""@1218""; > or = 5 years"
896-75101,,,,1995-05-10,Pd 26,ALF,Paired,"""@1015"""
896-75101,,,,1996-05-15,Pd 20,Dave,Paired,"""@1830"""
896-75101,,,,1996-05-21,Pd 20,JM,Pr,"""@1357"""
896-75101,,,,1996-05-30,Pd 20,SWL,Pr,"""@1157"""
896-75101,,,,1996-06-10,Pd 20,SWL,Pr,"""@1617"""
896-75101,,,,1996-06-30,Pd 20,STR,Pr,"""@1942"""
896-75101,,,,1996-07-09,Pd 20,JM,Pr,"""@1700"""
896-75101,,,,1996-07-18,n316,NA,NA,"""6 Hatch"""
896-75101,,,,1996-07-23,Pd20,STR,W6Ia,"""@1450"""
896-75101,,,,1996-08-06,Pd20,RGC,W6IIa,"""@1305"""
896-75101,,,,1996-08-22,Pd20,SWL,W6IIc,"""@0800"""
896-75102,,,,NA,NA,NA,NA,NA
896-75103,,,,NA,NA,NA,NA,NA
896-75104,,,,NA,NA,NA,NA,NA
896-75107,,,,1992-07-21,n16,NA,NA,"""Shot on 1992-11-22 2 milles E of Creole Lousianna"""
896-75129,,,,NA,NA,NA,NA,NA
896-75131,,,,1992-07-17,n13,NA,NA,NA
896-75131,,,,1993-03-16,Pd80,BKW,Paired,NA
896-75131,,,,1993-06-13,PdIW,RGC,Paired,NA
896-75131,,,,1993-06-16,Pd25,NA,Paired,NA
896-75131,,,,1993-06-15,Pd1W,RGC,NA,NA
896-75131,,,,1993-06-26,Pd65,RGC,Paired,NA
896-75131,,,,1993-06-27,Pd1E,RGC/BKW,Paired,NA
896-75131,,,,1994-06-23,Pd80,VL,Paired,"""0716 hours"""
896-75131,,,,1994-06-28,Pd1,JF,PR,"""@0800"""
896-75131,,,,1995-05-25,Pd5338,SWL,PR,"""@1441""; ""4 Years"""
896-75131,,,,1995-06-02,N end Pd1,SWL,PR,"""@1631""; ""4 Years"""
896-75131,,,,1995-06-03,Pd5338,RGC,PR,"""4 Years"""
896-75131,,,,1995-06-06,Pd3558,SWL,PR,"""@1533""; ""4 Years"""
896-75131,,,,1995-06-09,Pd5338,STR,PR,"""@1016""; ""4 Years"""
896-75131,,,,1995-06-30,Pd1E,SWL,PR,"""@1836""; ""4 Years"""
896-75131,,,,1995-07-09,n245,SWL,NA,"""9 eggs""; ""@1240""; ""4 Years"""
896-75131,,,,1995-07-10,NA,RGC,NA,"Location ""Nest"" Status ""Flushed from the nest""; ""@?""; ""4 Years"""
896-75131,,,,1995-07-12,Pd1E,SWL,9Ia's,"""@1430""; ""4 Years"""
896-75131,,,,1995-07-14,Pd1E,RGC,9Ia's,"""@1700""; ""4 Years"""
896-75131,,,,1995-07-15,Pd1,RGC,9Ia's,"""@1340""; ""4 Years"""
896-75131,,,,1995-07-16,Pd1,RCG,9Ib's,"""@0955""; ""4 Years"""
896-75131,,,,1995-07-17,Pd1,SWL,9Ib's,"""@0951""; ""4 Years"""
896-75131,,,,1995-07-24,Pd1,SWL,NA,"""@0855""; ""W7IA's/7IB's/two females marked > wyotri/wtrioeir""; ""4 Years"""
896-75131,,,,1995-07-25,Pd1,STR,NA,"""@1410""; ""9 ducklings with 3 female LESC""; ""4 Years"""
896-75131,,,,1995-07-28,Pd1E,VL,NA,""">5Ib's""; ""4 Years"""
896-75131,,,,1995-08-06,Pd1,SLW,6IC's,"""Female wt tri org circle around ""; ""4 Years"""
896-75131,,,,1995-08-15,Pd1,JC,6IIa's,"""4 Years"""
896-75131,,,,1996-06-10,Pd79W,SWL,Paired,"""@1546"""
896-75131,,,,1996-06-09,Pd1SE,RGC,PR + 1 Male,"""@0830"""
896-75131,,,,1996-08-04,Pd65,SF,w11IIB's,"""@1304"""
896-75131,,,,1996-08-09,Pd4327,MG,w19IIB,"""@1148"""
896-75142,,,,1992-07-08,n9,NA,NA,NA
896-75151,,,,NA,NA,NA,NA,NA
896-75154,,,,1994-06-03,Pd1,SWL,Paired,"""@0900""; ""Double tagged see nest S-19/90"
896-75154,,,,1994-06-21,Pd1,"SWL, MC",Paired,"""@1810""; ""NW end of island""; ""Double tagged see nest S-19/90"
896-75154,,,,1994-06-27,"1 section ""Mille"" N of studied area west side of road",SWL/VL,PR,"""@1202""; ""sitting on muskrats house""; ""Double tagged see nest S-19/90"
896-75158,,,,1993-05-18,Pd 7GE,RGC JAH,Paired,NA
896-75158,,,,1993-05-27,Pd 1W,JAH,Paired,NA
896-75158,,,,1994-05-13,NA,RGC,Paired,"Locaton ""W OF Bouissieres"""
896-75158,,,,1994-08-05,NA,RGC,NA,"Locaton ""W OF Bouissieres""; ""9-IC""s (Not positive OR square symbol (maybe square symbol)"""
896-75158,,,,1994-07-15,n167,SL/VL/MC,NA,"Location ""E Pd905"""
896-75158,,,,1994-08-10,NA,RGC,"9-IIA""s","Location ""W OF Bouissieres"""
896-75158,,,,1995-05-04,Pd1,RGC,Paired,"Location ""S end island"""
896-75158,,,,1995-05-19,Pd 6642,KH,Paired,NA
896-75158,,,,1995-07-31,n313,STR/VL,Abandoned 8 eggs,"""Nasal tags reattached, old ones fell of"""
896-75158,,,,1995-07-31,Pd90B,SWL/ Dorothy Lindeman,"(With Br. Y wt circle @ 12IE""s)","""@1716 (also N. tag female)"""
896-75158,,,,1996-05-04,Pd6642,MG,Paired,"""@0930"""
896-75158,,,,1996-05-10,Pd90B,RGC,PR,"""@0845"""
896-75158,,,,1996-07-30,Pd6136,SWL,W11Ia-Ib,"""@1003"""
896-75158,,,,1996-08-16,Pd6136,SF,w11IIA,"""@1002"" Location Boussieres ?"""
896-75160,,,,1995-07-25,Pd1SE,STR/SWL,19 ducklings with 3 female LESC,"""@1410"""
896-75161,,,,1995-05-04,Pd1,RGC,Paired,Additional note on page about 1992 sighting 
896-75161,,,,1993-05-10,Pd1,RCG,Paired,NA
896-75162,,,,1992-08-07,Pd1,NA,NA,NA
896-75162,,,,1993-05-18,Pd1E,BKW,Paired,NA
896-75162,,,,1993-05-19,Pd1E,RCG,Paired,na
896-75162,,,,1993-05-10,Pd1W,JAH,Alone,NA
896-75162,,,,1993-06-13,Pd1E,RGC,Paired,NA
896-75162,,,,1993-06-16,Pd1E,BKW,Paired,NA
896-75162,,,,1993-06-18,Pd1E,RGC,Paired,NA
896-75162,,,,1993-06-22,Pd1E,RGC,Paired,NA
896-75162,,,,1993-06-26,Pd1E,RGC,Paired,NA
896-75162,,,,1993-05-27,nS-5,RGC/BKW,Nesting,"""9 eggs"""
896-75162,,,,1993-07-08,nS-5,RGC,Nesting,NA
896-75162,,,,1993-07-12,nS-5,RGC,Nesting,NA
896-75162,,,,1993-07-14,Pd1E,RGC,Receess?,NA
896-75162,,,,1993-07-19,nS-5,RGC,Nesting,NA
896-75162,,,,1993-07-21,nS-5,RGC,Nesting,NA
896-75162,,,,1993-07-22,nS-5,RGC/JAH,eggs pipped,NA
896-75162,,,,1993-07-24,nS-5,RGC,Hatched,"""one dead at nest""; ""CWS2950"""
896-75162,,,,1993-07-24,Pd1E,RGC,With 7Ia,NA
896-75162,,,,1993-07-26,Pd1E,RGC,With 7Ia,NA
896-75162,,,,1993-07-28,Pd1W,RGC,With 7Ia,NA
896-75162,,,,1993-08-05,Pd1E,RGC,With 7Ib,NA
896-75162,,,,1993-08-16,Pd1E,JAH,With 7Ib,NA
896-75162,,,,1993-08-25,Pd1E,JAH,With 4IIc,"""IIa??"""
896-75162,,,,1993-08-26,Pd1W,JAH,With 4IIc,"""IIa??"""
896-75162,,,,1993-08-27,Pd65,JAH,Alone,"""@0930"""
896-75162,,,,1994-05-13,Pd66,RGC,Paired,NA
896-75162,,,,1994-05-27,Pd5338,LH,Paired,NA
896-75162,,,,1994-06-01,Pd140,SWL,Paired,"""@2132"""
896-75162,,,,1994-06-24,Pd66,STR/JF,Paired,"""@0930"""
896-75162,,,,1994-05-29,Pd140,SWL,PR,"""@2132"""
896-75162,,,,1994-06-27,Pd65,SWL,PR,"""@1418"""
896-75162,,,,1994-06-28,Pd65,SWL,PR,"""@0959"""
896-75162,,,,1994-06-28,Pd65,SWL,PR,"""@1508"""
896-75162,,,,1994-07-01,Pd56,SR,PR,"""@1747"""
896-75162,,,,1994-07-09,Pd67,SWL,PR,"""@2030"""
896-75162,,,,1994-08-03,Pd65,RGC,8-IA's,NA
896-75162,,,,1994-08-02,Pd65,SWL,8-IA's,"""@1227"""
896-75162,,,,1994-08-02,Pd65,MC,8-IA's,"""@1545"""
896-75162,,,,1994-08-03,Pd65,SWL,8-IA's,"""@1101"""
896-75162,,,,1994-08-03,Pd65,MC,8-IA's,"""@1615"""
896-75162,,,,1994-08-09,Pd67,SWL,7-IB's,"""@1139"""
896-75162,,,,1994-08-13,Pd67,LH,7-IB's,"""@Morning"""
896-75162,,,,1994-08-16,Pd20,SWL,Alone,"""@1332"""
896-75162,,,,1994-08-18,Pd20,SLW,Alone,"@1344"""
896-75162,,,,1994-08-15,Pd25,SLW,Alone,"""@0810"""
896-75162,,,,1994-08-20,Pd67,SWL,6-IC's,"""@1611"""
896-75162,,,,1994-08-21,Pd65,SWL,7-IC's,"""@1354"""
896-75162,,,,1994-08-23,Pd65,SWL,7-IC's,"""@1154"""
896-75162,,,,1994-08-24,Pd65,SWL,7-IC's,"""@Evening"""
896-75162,,,,1994-08-29,Pd20,SWL,Alone,"""@1047"""
896-75162,,,,1994-08-29,Pd20,SWL,13 other LESC,"""@1409"""
896-75162,,,,1994-08-30,Pd20,RGC,13 LESC,NA
896-75162,,,,1995-05-19,Pd66,STR,Paired,"""@0900"""
896-75162,,,,1995-04-23,Pd90B,RGC,PR,NA
896-75162,,,,1995-05-25,Pd5338,SWL,PR,"""@1806"""
896-75162,,,,1995-05-26,Pd66,RW,Paired,"""@0853"""
896-75162,,,,1995-06-08,Pd15,RGC,PR,"""@1000"""
896-75162,,,,1995-06-09,NA,RGC,Paired,"@1130"""
896-75162,,,,1995-06-12,Pd1,SWL,Paired,"""@0938"""
896-75162,,,,1995-06--13,Pd5338,SWL,Pr,"""@1157"""
896-75162,,,,1995-06-16,Pd15,RGC,Pr,"""@1120"""
896-75162,,,,1995-06-18,Pd53,KGC,Pr,"""@?"""
896-75162,,,,1995-06-22,Pd5338,SWL,Alone,"""@1135""; ""greater than or equal to 4 years"""
896-75162,,,,1995-06-28,Pd1; n248,RGC,Nesting,"""@1415"";""(NEGR)"
896-75162,,,,1995-06-30,Pd15E,RGC,Alone ,"""@2045"""
896-75162,,,,1995-07-24,Pd1,SWL,7IB8/7Ia's/WSq Ortri/ Wtri/orcir,"""20848"""
896-75162,,,,1995-07-25,Pd1SE,STR/SWL/RGC,7Ia's,"""@1410"""
896-75162,,,,1995-07-28,Pd1E,UC,greater or equal to 5,"""@1000"""
896-75162,,,,1995-08-23,Pd1,SWL,16 young,NA
896-75162,,,,1995-08-15,Pd1,GC,"13 Young; 5IIB's, 3IIC's, 5IIa's",NA
896-75162,,,,1996-05-25,Pd5338,UL,Paired,"""@1140"""
896-75162,,,,1996-05-30,Pd1w,STR,Pr,"""@1200""; ""(N end island)"""
896-75162,,,,1996-05-30,Pd1,SWL,Pr,"""@1427"""
896-75162,,,,1996-06-24,Pd1,SWL,Pr,"""@1730"""
896-75162,,,,1996-07-04,island,RGC,on nest,"""@1415"""
896-75162,,,,1996-08-13,Pd1,SWL,W7IIa,"""@0840"""
896-75162,,,,1996-08-14,Pd1,SF,W7IIA,"""@0845"""
896-75162,,,,1996-08-18,Pd1,SW;,W7IIa,"""@11:30"""
896-75162,,,,1996-08-22,Pd65,MG,greater or equal to 5IIb,NA
896-75162,,,,1996-07-22,n418,NA,2 likely hatch (6 eggs missing),NA
896-75175,,,,1992-09-03,Pd1,NA,NA,NA
896-75171,,,,NA,NA,NA,NA,NA
896-75138,,,,1991,DRIVE TRAP POND 1,NA,NA,"""web tag YOR 801 YOR 802"""
896-62850,,,,1990,n16,NA,NA,"""web tag YOR 0672"""
896-62851,,,,1990,n7,NA,NA,"""web tag YOR 0601"""
896-62852,,,,1990,n16,NA,NA,"""web tag YOR 0671"""
896-62844,,,,NA,NA,NA,NA,NA
896-62857,,,,1990,n5,NA,NA,"""web tag YOR 0639"""
896-62858,,,,1990,n5,NA,NA,"""web tag YOR 0644"""
896-62859,,,,1990,n5,NA,NA,"""web tag YOR 0640"""
896-75755,,,,1993-04-27,Pd1W,RGC,paired,NA
896-75755,,,,1993-04-29,Pd1E,RGC,paired,NA
896-75755,,,,1993-05-01,Pd1N,RGC,paired,NA
896-75755,,,,1993-05-04,Pd1,RGC,paired,NA
896-75755,,,,1993-05-18,Pd1W,BKW,paired,NA
896-75755,,,,1993-06-01,Pd1E,RGC,paired,NA
896-75755,,,,1993-06-13,Pd1E,BKW,paired,NA
896-75755,,,,1993-06-15,Pd1,JAH,paired,NA
896-75755,,,,1993-06-16,Pd1W,RGC,paired,NA
896-75755,,,,1993-06-16,Pd1W,BKW,paired ,NA
896-75755,,,,1993-06-18,Pd1W,NA,paired,NA
896-75755,,,,1993-06-20,Pd1W,RGC,paired,NA
896-75755,,,,1993-06-22,Pd1E,RGC,paired,NA
896-75755,,,,1993-06-24,Pd1W,BKW,paired,NA
896-75755,,,,1993-06-26,Pd1E,RGC,paired,NA
896-75755,,,,1993-06-28,Pd1E,RGC,paired,NA
896-75755,,,,1993-07-01,Pd1W,RGC,paired,NA
896-75755,,,,1994-04-22,Pd1,RGC,paired,NA
896-75755,,,,1994-04-23,Pd1SW,RGC,paired,NA
896-75755,,,,1994-04-24,Pd1SE,RGC,paired,NA
896-75755,,,,1994-05-06,Pd W of Boussiere,SWK,paired,NA
896-75755,,,,1994-04-30,Pd1E,RGC,paired,NA
896-75755,,,,1994-05-23,Pd11,VL,paired,NA
896-75755,,,,1994-05-14,Pd1W,RGC,paired,NA
896-75755,,,,1995-06-02,Pd1Nend,SWL,paired,NA
896-75755,,,,1995-06-26,SEshore_of_island,RW,PR,NA
896-75755,,,,1995-06-08,Pd5338,RGC,PR,NA
896-75755,,,,1995-05-04,SendPd1,"UL, RGC",paired,NA
896-75755,,,,1995-05-09,Pd65,KLH/SWL,PR,"""@1504"""
896-75755,,,,1995-05-11,Pd19E,RGC,PR,"""5 years"""
896-75755,,,,1995-05-31,Pd1,RGC/DC,PR + 1 Male,"""@2048"""
896-75755,,,,1995-06-07,Pd79E,SWL,PR + 1 Male,"""@1331"
896-75755,,,,1995-06-09,Pd5338,STR,PR,"""@1016"""
896-75755,,,,1995-06-12,Pd1,SWL,PR,"""@0928"""
896-75755,,,,1995-06-13,Pd79,JC/VL/SWL,NA,"""@1538"""
896-75755,,,,1995-06-14,Pd1W,RW,PR,"""@1720"""
896-75755,,,,1995-06-19,Pd1E,RGC,PR,"""@1015"""
896-75755,,,,1995-06-30,Pd1E,RGC,PR,"""@1848"""
896-75755,,,,1995-07-03,Pd1E,RGC,PR,"""@1610"""
896-75755,,,,1995-07-10,Island;n225,RGC,flushed from nest,NA
896-75755,,,,1995-07-11,Pd1,SWL,alone,"""@1825"""
896-75755,,,,1995-07-15,Pd1,RGC,cont'd,"""@1400"""
896-75755,,,,1995-07-17,SEPd1,RGC,greater than or equal to 6IA's,NA
896-75755,,,,1995-07-20,Pd1,JC,5IB's,"""@0930"""
896-75755,,,,1995-07-24,Pd1,SWL,W female; other marked females; WT.SQORGTii/WtYORGtri and 7IA's/7IB's,"""@0848"""
896-75755,,,,1995-08-15,Pd1,JC,5IIA's,NA
896-75755,,,,1996-05-04,Pd1E,RGC,Paired,"""@1100"""
896-75755,,,,1996-05-10,Pd1E,SWL,PR,"""@morning"""
896-75755,,,,1996-05-30,Pd1W,RGC,PR,"""@1310"""
896-75755,,,,1996-06-09,Island; n210,SWL,Flushed from nest,"""@1034"""
896-75755,,,,1996-06-12,Island; n210,RGC,NA,"""@1000"""
896-75755,,,,1996-07-09,n292,RGC,11 hatch,NA
896-75755,,,,1996-07-09,Pd1SE,RGC,11IA,"""@1345"""
896-75755,,,,1996-07-14,Pd1E,SGR,11Ia,"""@1430"""
896-75755,,,,1997-07-09,n331 (Island),RGC,NA,NA
896-75755,,,,1997-07-10,n331 (Island),RGC,9 hatched,NA
896-75755,,,,1997-07-11,Pd1W,RGC,"W20IA's/also brown circle with triangle-11th, 14,15",NA
896-75755,,,,1997-07-15,Pd1,WK,W greater than or equal to 7Ia's,"""@1645"""
896-75755,,,,1997-07-14,Pd1,RGC,W18Ia's,"""@1625"""
896-75755,,,,1997-07-28,Pd1,RGC,W23Ia-b W21IIa,"""-BROWHOUAL - BROWHA"""
896-75755,,,,1997-07-17,Pd1,EMS,W11Ib's W18Ib-c,"""-LBOUALXZ -2XmaleN/t - +BROWHA"""
896-75755,,,,1997-08-07,Pd1,MG,W50-51IIa-IIb's,"""+3femaleN/t-BRNOWHta,LBOUALXZ, 2female n/t"""
896-75755,,,,1997-08-11,Pd1,SWL,W14-IIc W10IIa,"""greater than or equal to BRNOWHT triangle - female n/t"""
896-75755,,,,1998-04-29,SWPd1,RGC,PR,"""@1755"""
896-75755,,,,"1998-05-06""",Pd1,RGC,PR,"""@1930"""
896-75755,,,,1998-05-07,Pd1S,RGC,PR,"""@1410"""
896-75755,,,,1998-05-08,Pd125s,RGC,PR,"""@1120 (good)"""
896-75755,,,,1998-05-12,Pd1S,RGC,PR,"""@1315"""
896-75755,,,,1998-05-17,Pd5,RGC,PR,Date listed from May 17th-May19th
896-75755,,,,1998-05-15,Pd1SW,SWL,PR,"""@1803"""
896-75755,,,,1998-05-28,Pd1SW,RGC,PR,"""@1315"""
896-75755,,,,1998-06-02,Pd1,JGS/SWL,PR,"""@0920"""
896-75755,,,,1998-06-08,Pd1W,SWL,PR,"""@0824"""
896-75755,,,,1998-06-15,Pd1W,EMS,PR,"""@1640 (100%)"""
896-75755,,,,1998-06-26,n326,RGC,6 eggs,"""@1600 (abandoned, human)"""
896-75174,,,,1994-05-27,Pd1W,"SWL, STR","paired, copulating","""@1045"""
896-75172,,,,1992,n23,NA,NA,"""Web tab YOR2525"""
896-75176,,,,1992,n23,NA,NA,"""Web tag YOR2624"""
896-75176,,,,1992-09-03,Pd1,NA,NA,NA
896-75176,,,,1994-08-05,Pd4857,RGC,possibly with brood,"""caught in brood drive!"", ""nasal tags ripped off taking beak top with it."" ""some time previous to this capture"""
896-75177,,,,1992,n7,NA,NA,"""Web tag YOR2614"""
896-75178,,,,1992,n8,NA,NA,"""Web tag YOR2605"""
896-75179,,,,1992,n23,NA,NA,"""Web tag YOR2627"""
896-75173,,,,1992,n23,NA,NA,"""Web tag YOR2607"""
896-75173,,,,1992-09-03,Pd1,NA,NA,NA
896-75186,,,,1992,n17,NA,NA,"""Web tag YOR2667/2668"""
896-75187,,,,1992,n20,NA,NA,"""Web tag YOR2673"""
896-75191,,,,1992,n17,NA,NA,"""Web tag YOR2662"""
896-75192,,,,1992-08-07,Pd1,NA,NA,"""Web tag YOR2680"""
896-75194,,,,1992,n20,NA,NA,"""Web tag YOR2672"""
896-75197,,,,1992,n21,NA,NA,"""Web tag YOR2659"""
896-75199,,,,1992-08-07,Pd1,NA,NA,"""Web tag YOR2677"""
896-75200,,,,1992-08-07,Pd1,NA,NA,"""Web tag YOR2679; shot 1992-01-28"" @ Allport, Arkansas"""
896-62884,,,,1991-07-17,Pd1 n11,NA,NA,NA
896-62884,,,,1992-07-09,n23,NA,NA,NA
686-13933,,,,1915-07-17,n300,KLH/SRT,continued,NA
686-13933,,,,1995-07-29,Pd79E,JC,4Ia's,"""@0930""; 4 years"
686-13933,,,,1995-08-01,Pd78E,SWL,4Ia's,"""@1620""; 4 years"
686-13933,,,,1995-08-03,Pd78E,SWL,4Ib's,4 years
686-13933,,,,1995-08-04,Pd79E,SWL,4Ib's,"""@0810""; 4 years"
686-13933,,,,1995-08-06,Pd79E,SWL,4IB's,4 years
686-13933,,,,1995-08-07,Pd79E,SWL,4IB's,"""@1031""; 4 years"
686-13933,,,,1995-08-11,Pd79B,STR,4IB's,"""@1300""; 4 years"
686-13933,,,,1995-08-15,Pd20,SWL,W(wtYwtYfemaleLESC),"""@1218""; 4 years"
686-13933,,,,1996-05-04,Pd70,SWL,Paired,"""@1000"""
686-13933,,,,1996-05-07,Pd67,STR,Paired,"""@1428"""
686-13933,,,,1996-06-09,n172,NA,NA,NA
686-13933,,,,1996-05-10,Pd26,STR,PR,"""@1015"""
686-13933,,,,1996-05-10,Pd71,STR,PR,"""@0950"""
