band_num,date_resighted,location,observer,status,comments,
596-68175,1992-07-06,p1,RGC,7 IB,NA,
596-68175,1992-06-07,p1,RGC,paired,NA,
596-68175,1992-06-27,p1,RGC,II IA,"status was like that, no typo",
596-68175,1992-06-29,p1,RGC,8 IA,NA,
596-68175,1992-06-30,p1,RGC,7 IB,NA,
596-68175,1992-05-25,p1,RGC,paired,NA,
596-68175,1992-07-08,p1,RDD,7 IB,NA,
596-68175,1992-07-09,p1,RDD,7 IC,NA,
596-68175,1992-07-17,p1,RDD,7 IC,NA,
596-68175,1992-07-31,p1,RDD,7 IIB,NA,
596-68175,1993-04-26,p1 E,RGC ,paired,NA,
596-68175,1993-04-30,p1 W,RGC ,paired,NA,
596-68175,1993-05-09,p1 E,RGC ,paired,NA,
596-68175,1993-05-19,p1 E,RGC ,paired,NA,
596-68175,1993-05-27,n025,"JAN,RGC",nest,"""11 eqqs""",
596-68175,1993-05-29,n025,RGC,nesting,NA,
596-68175,1993-06-09,n025,RGC,nesting,NA,
596-68175,1993-06-14,p1 E,RGC,recess,NA,
596-68175,1993-06-16,p1 W,BKW,paired,NA,
596-68175,1993-06-21,n025,BKW,hatched+gone,NA,
596-68175,1993-06-26,p79 E,RGC,female no brood seen; acting broody + holding tight on pond,NA,
596-68175,1994-04-30,p1 E,RGC,paired,NA,
596-68175,1994-05-26,p140,"SWL,LH",paired,NA,
596-68175,1994-06-03,p140,"LH,JF",paired,NA,
596-68175,1994-05-14,p1 W,RGC,paired,NA,
596-68175,1994-06-30,n087,"VL,STR",21 day since mist nested,hard to understant status,
596-68175,1995-05-04,p1 SE,RGC,paired,NA,
596-68175,1995-05-11,p71,"STR,RW",paired,"""0900"" this was written in the location section",
596-68175,1995-05-26,p1 E side,"SWL,RGC",pair each time,NA,
596-68175,1995-05-06,p66,RW,paired ,"""8:53""",
596-68175,1995-06-03,p1 SE,RGC,pr,NA,
596-68175,1995-06-06,p1 SE side,RZ,alone,"""@1558""",
596-68175,1995-06-26,pd79,RW,pr,"""@1701""",
596-68175,1995-06-30,p1,RGC,alone,"""@1849""",
596-68175,1995-07-03,p1,RGC,recess,"""@1610""",
596-68175,1995-07-13,p1,SWL,10 IC's,"""@0958""",
596-68175,1995-07-15,p1,RGC,10 IC's,"""@1340""",
596-68175,1995-07-19,p1,JC,10 IC's,"""@1430""",
596-68175,1995-07-24,p1,STR,10 IIa's,"""@0855""",
596-68175,1995-07-25,p1,STR,10 IC's,"""@1410""",
596-68175,1995-07-28,p1 W,STR,10 IIb's,NA,
596-68175,1995-08-10,p1 NW,STR,10 IIB's,NA,
596-68175,1995-08-15,p1,JC,9 IIc's,"""@1030""",
596-68175,1995-07-31,p1 W,STD 3246-47,NA,"""Brood drive 1 female/1 male IIB's",
596-68175,1995-08-01,p1 E,"STD 3242,44,48-49",NA,"""Brood drive 4male IIB's",
896-62801,NA,NA,NA,NA,"""off area! deleted Jam/99, SWL""",
896-62896,1991-07-06,p65,RDD,paired,NA,
896-62896,1992-07-04,n168,BKW,10 cracked out,,
896-62895,1994-08-09,p5338 S,SWL,alone ,"""@0953""",
896-62898,NA,NA,NA,NA,no resightings,
896-75105,1992-07-03,n143,RGC,NA,"""hatched w6""",
896-75105,1993-06-16,p90 B,BKW,paired,NA,
896-75105,1993-06-24,p4857,RGC,paired,NA,
896-75105,1993-06-27,p1 W,BKW,paired,NA,
896-75105,1993-07-07,p66,RGC,3 female + 1 male,NA,
896-75105,1994-05-19,S end of p1 W + on stable NE p5,"RGC,SR",paired,location hard to understand ,
896-75105,1994-07-15,NW p29 n190,"SR,MD",on nest,"""nest was eventually destroyed""",
896-75105,1995-05-11,p84,"KLH,SL",paired,"""@08:15, >=6yr, old""",
896-75105,1995-05-26,send p1 in stuble between p4&5,SWL,pr,"""@0759"" location hard to understand",
896-75105,1995-06-01,p20 N end,STR,pr,"""@1600""",
896-75105,1995-06-04,p20,RGC,pr,"""@1434""",
896-75105,1995-06-06,p20,SWL,pr,"""@1350""",
896-75105,1995-06-08,p20,RW,NA,"""@1524, see nests #172 and #264 (both destroyed)""",
896-75105,1995-06-08,p20,SWL,pr,"""@1300""",
896-75105,1995-06-13,p20,SWL,pr,"""@1210""",
896-75105,1995-06-14,p20,SWL,pr,"""@1057""",
896-75105,1995-06-15,p20,SWL,pr,"""@1430""",
896-75105,1995-06-16,p20,SWL,pr,"""@1130""",
896-75105,1995-06-20,p20,RGC,pr,"""@1053""",
896-75105,1995-06-21,p20,RW,pr,"""@1820""",
896-75105,1995-06-26,p20,SWL,pr,"""@1730""",
896-75105,1995-07-03,p20,JC,NA,"""@0945""",
896-75105,1995-07-09,p4857,SWL,alone,"""@0948""",
896-75105,1996-05-26,p20,"SWL,MA",pr,"""@0900""",
896-75105,1996-05-31,p19,STR,pr,"""@1440""",
896-75105,1996-07-01,p20,STR,pr,"""@1850""",
896-75105,1996-07-08,p20,SF,nest194,"""4 hatched/gone (5 found dead in nest bow)",
896-75105,1996-08-08,p25,VL,w 3IIC,"""@1700""",
896-75105,1997-07-28,p5338,KLG,6 IC,"""@15:00""",
896-75105,1997-07-23,p5338,STR,6 IC,"""@0845""",
896-75105,1997-07-25,p5338,STR,6 IC,"""@1650""",
896-75105,1997-07-27,p5338,SWL,w 6 II@,"""@0955"" status was like that, not a typo",
896-75106,1994-07-26,p5338 S,SWL,10 IC's,"""@1459""",
896-75117,NA,NA,NA,NA,no resightings,
896-75118,1997-07-29,p5335,KLG,4 IIa,"""@7:15"" has a note that says ""resights not entered, SWL 98""",
896-75110,1994-08-13,P65,LH,alone,NA,
896-75115,NA,NA,NA,NA,no resightings,
896-75159,1994-05-13,p1 E,"SWL,VL",paired,"""not definite""",
896-75159,1994-06-01,NE (NWA) in flooded stubble,RGC,paired,NA,
896-75159,1994-06-04,p6753 SE,EHD,NA,"""11:00""",
896-75159,1994-06-05,p6751 E,"SWL,VL",paired,NA,
896-75159,1994-08-18,p6751,LH,alone,"""@morning""",
896-75159,1994-09-07,p6751,SWL,9-IIB's,"""@1541""",
896-75159,1995-06-07,p6753,RGC,pr,"""@1553""",
896-75159,1995-06-06,p6753,"SWL,RW",pr,"""@1513""",
896-75159,1995-06-23,p6753 W,STR,pr,"""@0815""",
896-75159,1995-06-08,p6751 N,RGC,pr,"""@1845""",
896-75159,1995-06-08,p6753,SWL,pr,"""@1448""",
896-75159,1995-06-12,p6751,SWL,pr,"""@1830""",
896-75159,1995-06-17,p6751,RGC,pr,"""@1508""",
896-75159,1996-08-16,andre denis pd on island,SWL ,female alone,"""@1535""",
896-75159,1996-07-02,p6954,VL,pr,"""@1745""",
896-75157,NA,nest,RGC,destroyed,NA,
896-75156,NA,NA,NA,NA,no resightings,
896-75153,1992-07-10,p1,BDD,10 IA,NA,
896-75153,1993-06-09,n058,"TF, et al. ",nesting,"""11 eggs""",
896-75153,1993-06-18,n058,RGC,nesting,NA,
896-75153,1993-06-20,n058,RGC,nesting,NA,
896-75153,1993-06-21,n058,BKW,nesting,NA,
896-75153,1993-06-23,n058,BKW,nesting,NA,
896-75153,1993-06-26,n058,RGC,hatched+gone,NA,
896-75153,1994-08-09,pd W of Bouissiere's with junk in it,SWL,10 IIB's,"""@1514""",
896-75152,NA,NA,NA,NA,no resightings,
896-75145,1993-07-07,p90 B,BKW,paired,NA,
896-75146,NA,NA,NA,NA,no resightings,
896-75144,1992-07-08,p6753,NA,w 7 IA,NA,
896-75168,NA,NA,NA,NA,no resightings,
896-75165,1992-08-14,p1 N,BKW,NA,"""with group of hy gadwalls""",
896-75167,1992-08-14,p1 N,BKW,NA,"""with group of hy gadwalls""",
896-75167,1995-05-20,p1,RGC,pr,NA,
896-75167,1995-06-15,p25,SWC,pr,"""@1208""",
896-75167,1995-07-09,p20,RGC,alone,"""@1750, 3yr old""",
896-75167,1995-07-13,p67,RGC,alone,"""@1804""",
896-75167,1995-07-16,p25,KLH,alone,NA,
896-75167,1995-07-19,p25,RW,pr,"""@1330""",
896-75167,1995-07-25,p1 E,RGC,alone,"""@1410""",
896-75167,1996-07-10,n363,NA,10 pipped ,NA,
896-75167,1996-07-18,p67,STR,w 8Ia,"""@1740""",
896-75167,1996-08-14,p67,SWL,female alone,"""@1553""",
896-75167,1996-08-20,p79 W,MG,w 8IIc,"""@0846""",
896-75167,1997-04-29,p67,SWL,pr,"""@1435, mauser on back""",
896-75167,1997-05-01,p67 ,MG,pr,"""mauser",
896-75167,1997-07-13,n524 (p14 E),NA,8 hatched,"""mauser removed, not replaced""",
896-75167,1997-07-30,p79 E,STR,flocked up,"""@1900, 5yr old""",
896-75149,1992-07-31,p1,RDD,w 7 Ic's,NA,
896-75149,1992-07-08,p1,RDD,w 9 Ia's,NA,
896-75149,1992-07-09,p1,RDD,w 7 Ia's,NA,
896-75149,1992-07-07,p1,RGC,w 9 Ia's,NA,
896-75149,1992-07-06,p1,RGC,w 9 Ia's,NA,
896-75149,1992-07-13,p1,RGC,w 7 Ib's,NA,
896-75149,1992-07-17,p1,RDD,w 7 Ib's,NA,
896-75149,1992-07-20,p1,BKW,w 5 Ib's,NA,
896-75149,1992-07-31,p1,RDD,w 7 IIb's,NA,
896-75149,1992-08-12,p1,RDD,alone,NA,
896-75149,1993-06-17,n68,"RGC,BKW",nesting,"""hen flushed by drag method of finding 8 eggs""",
896-75149,1993-06-23,n68,"BKW,RGC,JAH",nesting,"""8 eggs""",
896-75149,1993-07-05,n68,RGC,nesting,NA,
896-75149,1993-07-09,n68,"RGC,BKW",nesting,"""eggs pipped""",
896-75149,1993-07-12,n68,RGC,hatched+gone,"""8 eggs hatched""",
896-75147,NA,NA,NA,NA,no resightings,
896-75150,1992-07-21,p65,"CF,TF",w 6 IC,NA,
896-75150,1992-07-10,p65,RGC,w 8 IC,NA,
896-75150,1992-07-12,p65,RDD,w 4 IB,NA,
896-75143,1992-07-21,p1 E,BKW,w 7 IIc,NA,
896-75141,1992-06-30,p1 W ,RDD,w 9 Ib's,NA,
896-75141,1992-06-22,p1,RDD,pair,NA,
896-75141,1992-06-24,p1,RGC,9 IA,NA,
896-75141,1992-06-25,p1,RGC,9 IA,NA,
896-75141,1992-06-27,p1,RGC,9 IA,NA,
896-75141,1992-06-29,p1,RGC,9 IB,NA,
896-75141,1992-07-06,p1,RGC,9 IB,NA,
896-75141,1992-07-08,p1,RDD,9 IB,NA,
896-75141,1992-07-17,p1,RDD,8 IIA,NA,
896-75141,1992-07-31,p1,RGC,8 IIB,NA,
896-75141,1992-08-04,p1,BKW,8 IIC,NA,
896-75141,1993-05-18,p66,RGC,paired,NA,
896-75141,1993-05-22,p1 E,RGC,paired,NA,
896-75141,1993-05-30,p5338,RGC,paired,NA,
896-75113,1993-06-17,n69,RGC,nesting,"""8 eggs""",
896-75113,1993-06-23,n69,RGC,nesting,"""captured by mist net""",
896-75113,1993-06-30,n69,BKW,no female - nest destroyed,NA,
896-75113,1993-07-07,p1 S,BKW,alone,NA,
896-75113,1993-07-13,p1 E,RGC,alone,NA,
896-75113,1993-07-14,p1 E,RGC,alone,NA,
896-75113,1993-07-16,p1 E,RGC,alone,NA,
896-75113,1994-05-11,p1 SE,SWL,with 20 males,NA,
896-75113,1994-05-13,p80,RGC,pr,NA,
896-75113,1995-05-19,p66,STR,paired,"""@0900""",
896-75113,1995-08-05,SW of north Bouissiere's resicende (N of NE side of study area) large wetland,SWL,7 IIa's,"""@1453, 4yr old""",
896-75113,1996-05-30,p90 ,JM,wk,"""@0900""",
896-75204,1993-06-09,n06,"JAN, et al.",nesting,"""11 eggs""",
896-75204,1993-06-28,n06,BKW,nesting,NA,
896-75204,1993-07-02,n06,"BKW, et al.",nesting,NA,
896-75204,1993-07-05,n06,RGC,nesting,NA,
896-75204,1993-07-07,n06,RGC,nesting,NA,
896-75204,1993-07-08,n06,RGC,eggs pipped,NA,
896-75204,1993-07-12,n06,RGC,hatched+gone,NA,
896-75207,1994-06-27,p6,SWL,II IA's,"""@1919hrs""",
896-75207,1994-07-05,p79,JF,10 IIB's,"""@1503""",
896-75207,1994-07-09,p79,SWL,10 IIB's,"""@1912""",
896-75207,1994-07-10,p79,SWL,10 IIB's,"""@1128""",
896-75207,1994-07-16,p79,JF,10 IIc's,"""@0948""",
896-75207,1994-07-25,p79,SWL,9 IIB's,"""@1409""",
896-75207,1994-07-06,p79,SR,10 IB's,"""@1650""",
896-75207,1994-07-13,p80,SR,10 Ic's,"""@1000""",
896-75207,1994-08-03,p65,MC,with female,"""@1608""",
896-75207,1994-07-21,p79,LH,10-IIB's,"""@1540""",
896-75207,1994-07-27,p79 E,RGC,10-IIB's,NA,
896-75207,1994-08-03,p79 E,RGC,19 IIc's + yellow triangle who,NA,
896-75207,1995-04-25,p5338,SWL,pr,"""@1728""",
896-75207,1995-04-26,p79,RSC,pr,"""@1829""",
896-75207,1995-05-01,p5338,VL,paired,"""@1721""",
896-75207,1995-05-09,p5338,KLH,paired,"""@0800""",
896-75207,1995-05-11,p5338,"STR,RW",pr,"""@0800""",
896-75207,1995-05-11,p5338,RGC,pr,NA,
896-75207,1995-05-11,westside of island,KLH,pr,"""@0952""",
896-75207,1995-05-22,p5335,RGC,pr,"""@1600""",
896-75207,1995-05-25,p5338,"STR,RW",pr,"""@1205""",
896-75207,1995-05-15,p5338,RGC,pr,"""@2133""",
896-75207,1995-05-17,p71,SWL,pr,"""@0956""",
896-75207,1995-05-30,p5338,SWL,pr,"""@-""",
896-75207,1995-05-26,p5338,RW,pr,"""@0804""",
896-75207,1995-05-26,p78 S,RGC,pr,"""@1230, >= 2yr""",
896-75207,1995-06-03,p5338,RGC,pr,NA,
896-75207,1995-06-01,p78,RGC,pr,NA,
896-75207,1995-07-30,p65,STR,alone,"""@1015""",
896-75208,1995-04-??,p1 N end,SWL,pr,"""@1818"" did not had day on date",
896-75208,1995-05-04,p125 N,VL,paired,"""@0754""",
896-75208,1995-05-04,p66,STR,paired,"""@0926""",
896-75208,1995-06-06,p6753 N,RW,pr,"""@1459, 3yrs""",
896-75208,1995-06-23,p1 E,STR,pr,"""@0915""",
896-75208,1995-06-08,stubble NE of NWA,RGC,pr,"""@1845""",
896-75208,1996-07-14,n241,NA,10 hatch,NA,
896-75208,1996-04-30,p1 E,RGC,pr,NA,
896-75208,1996-05-30,p140,"STR,JM",paired,"""@1055""",
896-75208,1996-08-09,p 90 A,SWL,w a cresh of yngg and ycot female GADW,"""@1121""",
896-75208,1996-08-14,p 90 B,VL,w 10 IIb,"""@0919""",
896-75208,1998-04-20,p5056,SWL,pr,"""@1350""",
896-75208,1998-04-22,p90,SWL,pr,"""@1836""",
896-75208,1998-04-28,p6753,SWL,pr,"""@~0800 am""",
896-75208,1998-05-12,p125 N,EMS,pr,"""@0930""",
896-75208,1998-05-19,p125 N,"RGC,JJK,JGS",pr,"""@1210""",
896-75208,1998-05-22,p125 N,RGC,pr,"""@1015""",
896-75208,2000-04-26,p90 B,KWD,pr,"""jair/good @0715""",
896-75208,2000-05-02,p90 ,KWD,pr,"""good/vgood""",
896-75208,2000-05-08,p90 ,BBB,pr,"""exc@1615""",
896-75208,2000-05-17,p1 E,PC,pr,"""vg 12:45""",
896-75208,2000-05-19,p1 N,BBB,pr,"""exc@1035"" year was assumed, no year entry",
896-75208,2000-04-27,p90,KWD,pr,"""jair"" year was assumed, no year on entry",
896-75208,2000-05-02,p90,KWD,pr,"""good"" year was assumed, no year on entry",
896-75208,NA,NA,NA,NA,"""female found dead pd 90 2 june 2000, nasal tags/bands found""",
896-75209,1994-06-27,p79 E end,"JF,SR",alone,"""male >=20m @1742""",
896-75209,1994-07-09,p90 B,SWL,1 I-B,"""@1829""",
896-75209,1994-07-10,p90 B,SWL,1 I-B,"""@1109""",
896-75209,1994-07-14,p90 B,SWL,1 I-B,NA,
896-75209,1994-07-25,p90 B,SWL,1 I-B,"""@1140""",
896-75209,1994-07-29,p90 B,SWL,2 II-C's,NA,
896-75209,1994-08-02,p25,SWL,2 II-C's,"""@1110""",
896-75209,1994-07-02,p90 B,SR,2 I-B,"""@0915""",
896-75209,1994-07-03,unk,MD,1 I-B,NA,
896-75209,1994-07-11,p90 B,SR,2 ducklings,"""@1510""",
896-75209,1994-07-05,unk,JF,1 I-B,NA,
896-75209,1994-07-14,unk,MD,1 I-B,"""@0940""",
896-75209,1994-07-06,p90 B,RGC,1 I-B,"""@1610""",
896-75209,1994-07-27,p25,RGC,14 II-A's,NA,
896-75209,1995-04-23,w Boussia's,RGC,pr,NA,
896-75209,1995-04-26,w Boussia's,RGC,pair,""">=2yrs""",
896-75209,1995-04-26,p1 N end,SWL,pr,"""@1818""",
896-75209,1995-05-10,p25,SWL,pr,"""@1017""",
896-75209,1995-05-11,p6136,RGC,pr,NA,
896-75209,1995-05-19,p1 N end,SWL,pr,"""@1505""",
896-75209,1995-05-24,p86,JC,pr,"""@1510""",
896-75209,1995-05-26,p86,SWL,pr,"""@1410""",
896-75209,1995-05-30,p86,RW,pr,"""@1109""",
896-75209,1995-06-18,p65,VL,pr,"""@0952""",
896-75210,1994-06-28,p25,LH,12 IA''s,"""@1630""",
896-75210,1994-07-04,p25 N,"SWL,RGC",2-IB,NA,
896-75210,1994-07-05,p25,JF,10-IB,NA,
896-75210,1994-07-17,p25,RGC,2  II-C's,NA,
896-75210,1994-08-13,p65,LH,alone,NA,
896-75210,1994-08-03,p25,RGC,2  II-C's,NA,
896-75210,1995-05-04,p25,SWL,pr,"""@0814""",
896-75210,1995-05-11,p66,"STR,RW",pr,"""@0838""",
896-75210,1995-05-30,p20,RGC,alone,"""@1620""",
896-75210,1995-06-04,p86,RGC,pr,"""@1540""",
896-75210,1995-07-17,p4857,SWL,9 Ia's,"""@0915""",
896-75210,1995-07-21,p4857,KLH,8 Ia's,""">=2yrs""",
896-75210,1995-07-26,p4857,SWL,7 Ic's,"""@1325""",
896-75210,1995-07-28,p4857,SWL,7 Ic's,"""@0942""",
896-75210,1995-08-02,p4857,SWL,7 Ic's,"""@1035""",
896-75210,1995-08-01,p4857,JC,7 Ic's,"""@0815""",
896-75210,1995-08-06,p4857,SWL,w 7 IIa's,NA,
896-75210,1995-08-07,p4857,SWL,w 7 IIa's,""">=2yrs""",
896-75210,1996-05-10,p5056,JWC,pair,NA,
896-75211,1994-07-02,p5338,RGC,alone,"""nest just destroyed""",
896-75211,1994-07-06,p5338 S,RGC,pr,"""@1610""",
896-75211,1994-07-27,p66,RGC,alone,"""@1849""",
896-75211,1995-04-29,p20,RGC,pr,"""@1415""",
896-75211,1995-04-25,p20,SWL,pr,"""@1351""",
896-75211,1995-05-21,p1 N,EHDZNS,pair,"""18:00"" observer not understandable",
896-75211,1995-05-26,p1 N,RGC,pair,"""@11:00, 3 yr.old""",
896-75211,1995-05-31,p5338,VL,pair,"""10:12""",
896-75211,1995-05-30,p1 ,JH,pair,NA,
896-75211,1995-05-16,p20,SWL,pr,"""@1340""",
896-75211,1995-05-25,p1,SWL,pr,"""@1753""",
896-75211,1995-05-27,nwa on the SE corner,SWL,pr,"""@1354""",
896-75211,1995-06-07,p 1 N,RGC,pr,"""@1220""",
896-75211,1995-06-08,p 1 ,SWL,pr,"""@1228""",
896-75211,1995-06-29,n216 (ISL),"RGC,SWL",female dead post surgery,NA,
896-75212,1994-07-09,p90 B,SWL,2 IIB's,"""@1912""",
896-75212,1994-07-10,p90 B,SWL,2 IIB's,"""@1119""",
896-75212,1994-07-14,p90 B,SWL,2 IIB's,"""@1450""",
896-75212,1994-07-25,p90 B,SWL,2 IIC's,"""@1140""",
896-75212,1994-08-08,2nd pd WS of Bous,SWL,acting broody,"""@1540""",
896-75212,1994-08-09,p90 B S,SWL,2 III's,"""@1230""",
896-75212,1994-07-30,unk,MC,2 IIB's,"""@1430""",
896-75212,1994-07-05,unk,MC,10 IA's or B's,"""@1523""",
896-75212,1994-07-16,p90 B,JF,12-Ic's,"""@0924""",
896-75212,1994-07-03,unk,MD,alone,NA,
896-75212,1994-07-04,p90 B,RGC,2 IA's,"""@1430""",
896-75212,1994-07-06,p90 B,LH,11 ducklings,"""@1725""",
896-75212,1994-07-14,ukn,MD,2 IIB's,"""@0940""",
896-75212,1994-07-06,p90 B,RGC,10-IB's,NA,
896-75212,1995-05-01,pond NE of Boussiers,"STR,VL",paired,"""@1727""",
896-75212,1995-05-04,pond NE of Boussiers,VGL,pr,"""@0709, >=2""",
896-75212,1995-05-11,p65,RGC,paired,"""@0810""",
896-75212,1995-05-28,SE corner NWA,SWL,pr,"""@1818""",
896-75212,1995-06-26,p58,SWL,pr,"""@1026""",
896-75212,1995-06-27,SE of Boussiers,RW,alone,"""@1026""",
896-75212,1995-06-28,p66,STR,alone,"""@0828""",
896-75212,1995-06-30,p65,STR,alone,"""@1015""",
896-75212,1996-07-12,P90 B,ALF,>=4 IB,"""@1806""",
896-75212,1996-07-18,P90 A,JM,w 8 IB,"""@1319""",
896-75212,1996-07-13,P90 B,ALF,w 8 IB,"""@1409""",
896-75212,1996-07-09,p67,NNA,w 9 Ia's,"""@1014""",
896-75212,1996-07-11,P90 B,STR,w 8 Ia's,"""@2000""",
896-75212,1996-07-15,P90 B,STR,w 8 Ia's,"""@1135""",
896-75212,1996-07-19,P90 A,STR,w 8 Ib's,"""@1600""",
896-75212,1996-08-06,P90 A,SWL,w a cresh of yng and ycot female GADW,"""@1121""",
896-75212,1997-05-28,2nd pd S of senwa corner,"SWL,JS",pr,"""@1245""",
896-75212,1997-05-09,P90 B,MG,pr,NA,
896-75212,1997-07-23,P90 S,STR,w 7Ia ,"""@1015""",
896-75212,1998-06-30,p130 N,NA,female dead,NA,
896-75212,1994-07-06,unk,SR,IA`S 9 ducklings,"""@1740""",
896-75212,1995-07-15,p79 E,RGC,alone,"""@0715, >=2yrs""",
896-75212,1996-05-30,p79 ,"STR,JM",paired,"""9:45""",
896-75212,1996-05-10,p1 W ,SWL,pr,"""@1220, yell circle, 95% confident""",
896-75212,1997-08-06,p8132 andre's denis yd pd,STR,alone,"""@1225"" had a note that says: ""97 resight delete off area SWL, 95 273""",
896-75215,1995-07-06,n941,SWL et al,cont,"""2>=yrs""",
896-75215,1995-07-15,n941,STR,human abandoned,"""this bird was injected with propofol @9 days INC",
896-75215,1995-07-15,p6751,STR,alone,"""@1530""",
896-75215,1997-07-11,p1 E of pd 94,SWL,alone ,"""@1728""",
896-75216,1994-07-16,p79,JF,1-IB,"""@0948""",
896-75216,1994-07-25,p79,SWL,1-IC,"""@1411""",
896-75216,1994-07-30,p5338 S,MC,alone,"""@1122""",
896-75216,1994-07-05,unk,JF,NA,"""@1430""",
896-75216,1994-07-21,p79,LH,1-IC,"""@1543""",
896-75216,1994-07-27,p79 E,RGC,1-IC,NA,
896-75216,1994-07-28,p1 w ,RGC,8-IA's,"""?""",
896-75217,1994-08-09,p4857,SWL,9 IIA's,"""@0843""",
896-75217,1994-08-14,p4857,SWL,7 IIb's,"""@0914""",
896-75217,1994-08-30,p4857,SWL,7 IIIb's,"""@1156""",
896-75217,1995-05-11,p66,"STR,RW",paired,"""@0830, 2yr.""",
896-75218,1994-08-09,p35 S SWend native,SWL,25 IIA's IIB's III's,"""@1006, -with two other marked GADW females""",
896-75218,1994-08-03,p25,RGC,12-IIA's,NA,
896-75218,1995-05-19,p66,STR,paired,"""@0900, 2>=yrs""",
896-75218,1995-05-25,p25,RW,pr,"""@1445""",
896-75218,1995-06-14,p?,RW,pr,"""@1726""",
896-75218,1995-06-15,p65,RW,NA,"""@1641""",
896-75218,1995-06-18,p65,SWL,pr,"""@1715""",
896-75218,1995-06-27,p79 W,RW,pr,"""@0944""",
896-75218,1995-06-30,p79 W,RGC,pr,"""@1945""",
896-75218,1995-07-03,p79 W,RGC,pr,"""@1916""",
896-75219,1995-05-04,p1 S end,RGC,paired,NA,
896-75219,1995-05-11,p5634,RGC,paired,"""2>=yrs""",
896-75219,1995-06-04,p6,RGC,paired,"""@0400""",
896-75219,1995-06-09,p120,JH,pr,"""@0930""",
896-75219,1995-07-10,p1,KLH,2 IIA's,"""@1100""",
896-75219,1995-07-12,p1 A,KLH,2 IIA's,"""@1350""",
896-75219,1995-07-13,p67,RGC,>=9 Ia's,"""@1758""",
896-75219,1995-07-09,n281,NA,NA,NA,
896-75219,1995-07-22,p25,VL,2 IB's ,"""@1501""",
896-75219,1995-07-24,p25,JC,5 IB's ,"""@1330""",
896-75219,1995-07-28,p25,JC,8 Ic's ,NA,
896-75219,1995-08-05,p25,SWL,7 IIA's ,"""@2021""",
896-75219,1996-04-30,p113 NE,RGC,pr,"""@morning""",
896-75219,1997-07-17,p1,EMS,w 6 Ia-Ib,"""@1100"" had a note that says ""97 resignt not entered SWL 99""",
896-75220,1994-07-16,p79,JF,alone,"""@0948""",
896-75220,1994-07-26,p65,SWL,alone,"""@1735""",
896-75220,1994-07-27,p65,RGC,near 5-IB's,NA,
896-75220,1994-07-30,p65,MC,alone,"""@1127""",
896-75220,1994-07-29,p65,RGC,alone,"""@1530""",
896-75220,1994-08-03,p65,MC,female,"""@1608""",
896-75220,1994-08-03,p65,RGC,alone,NA,
896-75221,1994-07-26,S of pd 5338,SWL,alone,"""@1439""",
896-75221,1994-07-29,S of pd 5338,RGC,10 IB's,NA,
896-75221,1994-08-08,First pond S of NWA sign ,SWL,10 IIA's ,"""@1457""",
896-75221,1995-05-19,4438,JC/RW,paired ,"""@0932""",
896-75221,1995-05-31,4438,UL,paired ,"""@1032""",
896-75221,1995-07-11,unknown,JH,greater than or equal to 10 IA-IB's,NA,
896-75221,1995-07-28,Arthur's big pd,JC,10 IC's,NA,
896-75221,1995-08-10,Arthur's big pd,STR,alone,"""@1140""",
896-75221,1996-05-10,Arthur's big pd,ALF,paired,"""@1200""",
896-75221,1996-05-16,Arthur's big pd,UL,paired ,"""@1816""",
896-75221,1996-06-10,50m NW of pd 38,"UL, MG",female found dead- raptror?,NA,
896-75224,1994-07-18,pd 1 ,JF,alone ,"""@1456""",
896-75224,1994-08-09,pd 79E,SWL ,"IIA's,IIB's, 25III's","""@1006- other marked female around""",
896-75224,1994-08-03,pd 79E,RGC,19 IIC +yellow circle white circle ,NA,
896-75224,1994-08-03,UNK ,MC,6-IC's,"""0922""",
896-75224,1994-08-12,pd 79E ,LH,some ducklings on pond ,"""morning""",
896-75224,1995-05-15,N of pd 5056,RGC,PR field feeding,"""@2043 less than or equal to 2 years""",
896-75225,1994-07-26,pd 65,SWL,5 IB'a ,"""@1736""",
896-75225,1994-07-27,pd 66,RGC,5 IB's ,"""@1850""",
896-75225,1994-08-14,1 sec S of Bous,SWL,5 IIB's ,"""@1343""",
896-75225,1994-08-03,pd 79E,RGC,8 IB or IC's ,NA ,
896-75225,1994-12-01,"LK Erie, Ohio",NA,NA,"""female shot""",
896-75236,1994-08-09,pd 65,SWL ,with 11 other GADW,"""@1154""",
896-75236,1994-08-11,pd 65,SWL/LH,with 11 other GADW,"""@1313""",
896-75236,1994-08-18,pd 79E,SWL ,with female ,"""@1407""",
896-75236,1994-08-23,pd 67,SWL ,Pr,"""@1119"" ",
896-75236,1995-06-14,pd 65,RGC,PR,"""@1618 1 yr old"" ",
896-75236,1995-06-23,pd 66,SWL ,PR field feeding,"""@0750"" ",
896-75236,1996-06-14,pd 66,MG,PR,NA ,
896-75237,1994-08-09,pd 65,SWL ,with group of 11,"""@1156""",
896-75237,1994-08-11,pd 65,SWL/LH,with group of 11,"""@1313"" ",
896-75237,1994-08-18,pd 79 E ,SWL ,with female ,"""@1407""",
896-75237,1994-08-20,UNK ,SWL ,alone ,NA ,
896-75237,1995-05-11,50,JC,NA ,NA,
896-75237,1995-05-11,pd 50 ,VGL/RW,paired ,"""@0918 1 yr old"" ",
896-75237,1995-05-19,pd 66,STR,paired ,"""@0900"" ",
