band_num,date_resighted,location,observer,status,comments,
876-04970,1989-07-26,SW pig farm,RDD,w 6 II b's,NA,
876-04970,1989-08-16,SW pig farm,RDD,w 5 II b's,NA,
876-04970,1990-06-27,p25,RGC,9 IA's,"the A was capital, not a typo",
876-04970,1991-05-11,p25,RGC,paired,NA,
876-04971,1987-07-06,p26,RGC,alone,NA,
876-04971,1987-07-13,p90 B,RGC,w 3 Ia's,NA,
876-04971,1987-07-14,p90 B,RGC,alone,NA,
876-04971,1988-05-13,p50,RGC,NA,"""counted""",
876-04971,1988-05-21,p50,MG,NA,NA,
876-04971,1988-05-28,p50,MG,NA,NA,
876-04971,1988-05-28,p50,RGC,paired,NA,
876-04971,1988-06-01,p50,RGC,NA,NA,
876-04971,1988-06-11,p50,MG,NA,NA,
876-04971,1988-06-17,feeding scu of gute east sve of west block at 2015,MG,NA,had difficulties understanting the description of location ,
876-04971,1988-06-23,p26,RGC,NA,NA,
876-04971,1988-06-25,n46,RGC,NA,"""nest hatched""",
876-04971,1988-06-30,p65,RGC,NA,"""w 11 Ia's""",
876-04971,1988-07-01,p65,RGC,NA,"""w 10 Ia's""",
876-04971,1988-07-02,p65,RGC,NA,"""w 11 Ia's""",
876-04971,1988-07-03,p65,RGC,NA,"""w 10 Ib's""",
876-04971,1988-07-31,SW pig farm,CFJ,NA,was highlighted ,
876-04971,1990-05-20,p50,RGC,paired,NA,
876-04971,1990-05-24,p50,RGC,paired,NA,
876-04971,1990-05-23,p50,RGC,paired,NA,
876-04971,1990-05-24,p50,RGC,paired,NA,
876-04972,1987-07-09,p50,RGC,w 10 Ia's,NA,
876-04972,1987-07-17,p50,AMW,w 9 Ia's,NA,
876-04972,1987-07-23,p50,KGL,alone,NA,
876-04972,1987-07-24,p50,AMW,w 10 Ib's,NA,
876-04972,1987-07-27,p50,AMW,w 10 Ib's,NA,
876-04973,1986-06-26,NA,NA,NA,"""natal nest was #156 (1986) where female was web-tagged (AD394) on 26 june 1986"" not sure if it is AD394 or AO394",
876-04973,1986-07-16,p50,RGC,g,"""wt. 100g.""",
