"","band_num","date_resighted","location","observer","status","comments","Other.notes..there.are.sometimes.handwritten.notes.such.as.the.one.in.this.binder.before.page.49","Brood.instead.of.Resightings","X","X.1","X.2","X.3"
"137","1357-20129",NA,NA,NA,NA,"there are no data entries on this page",NA,NA,NA,NA,NA,NA
"138","1357-20130",NA,NA,NA,NA,"there are no data entries on this page",NA,NA,NA,NA,NA,NA
"139","1357-20132","1982-06-18","p25",NA,"with mate",NA,NA,NA,NA,NA,NA,NA
"140","1357-20133",NA,NA,NA,NA,"""original tag lost-retrapped, remarked on 21 May 1985 refer to page 88""",NA,NA,NA,NA,NA,NA
"141","1357-20136",NA,NA,NA,NA,"there are no data entries on this page",NA,NA,NA,NA,NA,NA
"142","1357-20139","1982-09-16","p66 0900",NA,NA,"""with yng male and ? age female"", random number beside pond number ",NA,NA,NA,NA,NA,NA
"143","1357-20139","1983-05-12","p25","JEG","with mate ",NA,NA,NA,NA,NA,NA,NA
"144","1357-20139","1986-06-04","n8 (8 eggs)(nest trapped)","RGC",NA,"""lost original nasal tags, given new set and a yellow plastic leg band on left leg =24+ days incubation (weight 800g)",NA,NA,NA,NA,NA,NA
"145","1357-20139","1986-06-07","n8","RGC","DEAD","""head ripped off, breast plucked, head cleaned off; eggs ok-nasal tags removed and to be reused""",NA,NA,NA,NA,NA,NA
"146","1357-20141",NA,NA,NA,NA,"there are no data entries on this page",NA,NA,NA,NA,NA,NA
"147","1357-20143","1983-04-29","p26","EJW","with mate ",NA,NA,NA,NA,NA,NA,NA
"148","1357-20143","1983-05-20","p26","ROB","with mate ",NA,NA,NA,NA,NA,NA,NA
"149","1357-20143","1983-05-31","p26","JMS","with mate ",NA,NA,NA,NA,NA,NA,NA
"150","1357-20143","1983-06-01","p26","EJW","with mate ",NA,NA,NA,NA,NA,NA,NA
"151","1357-20143","1984-04-11","p26","EJW","with male",NA,NA,NA,NA,NA,NA,NA
"152","1357-20143","1984-04-13","p46","EJW,MRM","with male ","""male w/o leg band-female with leg band""",NA,NA,NA,NA,NA,NA
"153","1357-20143","1984-04-15","p26","MRM","with 3 males ","""possible mate exchange- after female swan off with unmarked male, leg banded male flew over and lot male swam away-2nd unmarked male also joined- leg banded male drove him off- then all 3 began to interact- mild chaos, threats. 2 grunt-whistled, flight displays- a pair swarm by and lot unmarked male swam to them- he and paired drake raised bills and quacked- then lot male swam off- paired male stayed with female- males raised crest when female present- leg banded male who was threatened by female- male pecked at her but stayed near her-both sitting on veg at end of observ.",NA,NA,NA,NA,NA,NA
"154","1357-20143","1984-05-10","p26","JMS,JTJ","with male",NA,NA,NA,NA,NA,NA,NA
"155","1357-20143","1984-05-11","p26","JEG","with male ","""loafing in floating veg. in NE corner of slough""",NA,NA,NA,NA,NA,NA
"156","1357-20145",NA,NA,NA,NA,"""DEAD shot- Duck Lake, Sask. 2 Nov 1982""",NA,NA,NA,NA,NA,NA
"157","1357-20146",NA,NA,NA,NA,"there are no data entries on this page",NA,NA,NA,NA,NA,NA
"158","1357-20110","1983-05-04","p25","EJW","with mate",NA,NA,NA,NA,NA,NA,NA
"159","1357-20110","1983-05-06","p25","EJW","alone",NA,NA,NA,NA,NA,NA,NA
"160","1357-20169","1983-05-09","p65","EJW","with mate ",NA,NA,NA,NA,NA,NA,NA
"161","1357-20169","1983-05-12","pond S of xroads","EJW","with mate ",NA,NA,NA,NA,NA,NA,NA
"162","1357-20169","1983-05-18","p65","JMS","with mate ",NA,NA,NA,NA,NA,NA,NA
"163","1357-20169","1984-04-15","p1","MRM","with mate","""male has no leg band""",NA,NA,NA,NA,NA,NA
"164","1357-20169","1984-04-16","p65","MRM","with mate ",NA,NA,NA,NA,NA,NA,NA
"165","1357-20175","1983-05-16","p20","JMS","with mate ",NA,NA,NA,NA,NA,NA,NA
"166","1357-20175","1983-05-17","p26",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"167","1357-20175","1983-05-30","p20","JMS","with mate ",NA,NA,NA,NA,NA,NA,NA
"168","1357-20177","1983-05-16","p90","JMS","with mate ",NA,NA,NA,NA,NA,NA,NA
"169","1357-20177","1983-05-19","p90","JMS","with mate ",NA,NA,NA,NA,NA,NA,NA
"170","1357-20177","1983-06-20","p67","JMS","with mate ",NA,NA,NA,NA,NA,NA,NA
