"","band_num","just_band"
"439","1016-61345","1016-6134"
"440","1016-61349","1016-6134"
"441","1016-61350","1016-6135"
"442","1016-61353","1016-6135"
"443","1016-61354","1016-6135"
"444","1016-61355","1016-6135"
"445","1016-61357","1016-6135"
"446","1016-61359","1016-6135"
"447","1016-61360","1016-6136"
"448","1016-61361","1016-6136"
"449","1016-61362","1016-6136"
"450","1016-61364","1016-6136"
"451","1016-61366","1016-6136"
"452","1016-61368","1016-6136"
"453","1016-61371","1016-6137"
"454","1016-61372","1016-6137"
"455","1016-61377","1016-6137"
"456","1016-61378","1016-6137"
"457","1016-61379","1016-6137"
"458","1016-72003","1016-7200"
"459","1016-72004","1016-7200"
"460","1016-72005","1016-7200"
"461","1016-72007","1016-7200"
"462","1016-72008","1016-7200"
"463","1016-72009","1016-7200"
"464","1016-72011","1016-7201"
"465","1016-72012","1016-7201"
"466","596-68118","596-68118"
"467","596-68119","596-68119"
"468","596-68120","596-68120"
"469","596-68121","596-68121"
"470","596-68112","596-68112"
"471","596-68123","596-68123"
"472","596-68124","596-68124"
"473","596-68133","596-68133"
"474","596-68172","596-68172"
"475","596-68173","596-68173"
"476","596-68182","596-68182"
"477","596-68184","596-68184"
"478","596-68185","596-68185"
"479","596-68190","596-68190"
"480","596-68191","596-68191"
"481","596-68192","596-68192"
"482","596-68193","596-68193"
"483","596-68197","596-68197"
"484","896-62827","896-62827"
"485","896-62833","896-62833"
"486","896-62834","896-62834"
"487","896-62835","896-62835"
"488","896-62836","896-62836"
"489","896-62837","896-62837"
"490","896-62844","896-62844"
"491","896-62846","896-62846"
"492","896-62864","896-62864"
"493","896-62865","896-62865"
"494","896-62869","896-62869"
"495","896-62872","896-62872"
"496","896-62873","896-62873"
"497","896-62874","896-62874"
"498","896-62877","896-62877"
"499","896-62878","896-62878"
"500","896-62879","896-62879"
"501","896-62882","896-62882"
"502","896-62883","896-62883"
"503","896-62886","896-62886"
"504","896-62899","896-62899"
"505","896-62900","896-62900"
"506","896-75101","896-75101"
"507","896-75102","896-75102"
"508","896-75103","896-75103"
"509","896-75104","896-75104"
"510","896-75107","896-75107"
"511","896-75129","896-75129"
"512","896-75131","896-75131"
"513","896-75142","896-75142"
"514","896-75151","896-75151"
"515","896-75154","896-75154"
"516","896-75158","896-75158"
"517","896-75160","896-75160"
"518","896-75161","896-75161"
"519","896-75162","896-75162"
"520","896-75175","896-75175"
"521","896-75171","896-75171"
"522","896-75138","896-75138"
"523","896-62850","896-62850"
"524","896-62851","896-62851"
"525","896-62852","896-62852"
"526","896-62857","896-62857"
"527","896-62858","896-62858"
"528","896-62859","896-62859"
"529","896-75755","896-75755"
"530","896-75174","896-75174"
"531","896-75172","896-75172"
"532","896-75176","896-75176"
"533","896-75177","896-75177"
"534","896-75178","896-75178"
"535","896-75179","896-75179"
"536","896-75173","896-75173"
"537","896-75186","896-75186"
"538","896-75187","896-75187"
"539","896-75191","896-75191"
"540","896-75192","896-75192"
"541","896-75194","896-75194"
"542","896-75197","896-75197"
"543","896-75199","896-75199"
"544","896-75200","896-75200"
"545","896-62884","896-62884"
"546","686-13933","686-13933"
"547","986-13988","986-13988"
"548","686-13990","686-13990"
"549","896-75202","896-75202"
"550","896-75203","896-75203"
"551","1016-61312","1016-6131"
"552","1016-61313","1016-6131"
"553","1016-61314","1016-6131"
"554","1016-61317","1016-6131"
"555","1016-61320","1016-6132"
"556","1016-61322","1016-6132"
"557","1016-61323","1016-6132"
"558","1016-61326","1016-6132"
"559","1016-01336","1016-0133"
"560","1016-61339","1016-6133"
"561","1016-61347","1016-6134"
"562","1016-61348","1016-6134"
"563","1016-61351","1016-6135"
"564","1016-61352","1016-6135"
"565","1016-61356","1016-6135"
"566","1016-61365","1016-6136"
"567","1016-61370","1016-6137"
"568","1016-61375","1016-6137"
"569","1016-61376","1016-6137"
"570","1016-61380","1016-6138"
"571","1016-61382","1016-6138"
"572","1016-72006","1016-7200"
"573","896-75205","896-75205"
"574","896-75214","896-75214"
"575","896-75222","896-75222"
"576","896-75223","896-75223"
"577","896-75258","896-75258"
"578","896-75276","896-75276"
"579","896-75298","896-75298"
"580","896-75352","896-75352"
"581","896-75369","896-75369"
"582","896-75371","896-75371"
"583","896-75372","896-75372"
"584","896-75374","896-75374"
"585","896-75375","896-75375"
"586","896-75376","896-75376"
"587","896-75377","896-75377"
"588","896-75388","896-75388"
"589","896-75436","896-75436"
"590","896-75439","896-75439"
"591","896-75442","896-75442"
"592","896-75456","896-75456"
"593","896-75461","896-75461"
"594","896-75464","896-75464"
"595","896-75465","896-75465"
"596","896-75468","896-75468"
"597","896-75473","896-75473"
"598","896-75472","896-75472"
"599","1016-61383","1016-6138"
"600","1016-61389","1016-6138"
"601","1016-61392","1016-6139"
"602","1016-61395","1016-6139"
"603","1016-72101","1016-7210"
"604","1016-72013","1016-7201"
"605","1016-72014","1016-7201"
"606","1016-72016","1016-7201"
"607","1016-72018","1016-7201"
"608","1016-72020","1016-7202"
"609","1016-72026","1016-7202"
"610","1016-72031","1016-7203"
"611","1016-91398","1016-9139"
"612","985-06606","985-06606"
"613","1056-37108","1056-3710"
"614","1056-37113","1056-3711"
"615","1056-37116","1056-3711"
"616","1056-37124","1056-3712"
"617","1056-37126","1056-3712"
"618","1056-37138","1056-3713"
"619","1056-37161","1056-3716"
"620","1056-37159","1056-3715"
"621","1056-37157","1056-3715"
"622","1056-37165","1056-3716"
"623","1056-37171","1056-3717"
"624","DONE","DONE"
"625","1447-40124","1447-4012"
"626","1467-52310","1467-5231"
"627","1467-52311","1467-5231"
"628","1467-52314","1467-5231"
"629","1467-52316","1467-5231"
"630","1467-52317","1467-5231"
"631","1467-52321","1467-5232"
"632","1467-52322","1467-5232"
"633","1107-16302","1107-1630"
"634","1107-16303","1107-1630"
"635","1107-16304","1107-1630"
"636","1107-16305","1107-1630"
"637","1107-16306","1107-1630"
"638","1107-16307","1107-1630"
"639","1107-16308","1107-1630"
"640","1107-16309","1107-1630"
"641","1107-16312","1107-1631"
"642","1107-16320","1107-1632"
"643","1107-16321","1107-1632"
"644","1107-16322","1107-1632"
"645","1107-16323","1107-1632"
"646","1107-16324","1107-1632"
"647","1107-16325","1107-1632"
"648","1107-16326","1107-1632"
"649","1107-16327","1107-1632"
"650","1107-16328","1107-1632"
"651","1107-16329","1107-1632"
"652","1107-16330","1107-1633"
"653","1107-16331","1107-1633"
"654","1107-16332","1107-1633"
"655","1107-16333","1107-1633"
"656","1107-16334","1107-1633"
"657","1107-16335","1107-1633"
"658","1107-16336","1107-1633"
"659","1107-16338","1107-1633"
"660","1107-16341","1107-1634"
"661","1107-16342","1107-1634"
"662","1107-16345","1107-1634"
"663","1107-16346","1107-1634"
"664","1107-16365","1107-1636"
"665","1107-16382","1107-1638"
"666","1107-16388","1107-1638"
"667","1107-16389","1107-1638"
"668","1107-16390","1107-1639"
"669","1107-16391","1107-1639"
"670","1107-16392","1107-1639"
"671","1107-16393","1107-1639"
"672","1107-16394","1107-1639"
"673","1107-16395","1107-1639"
"674","1107-16396","1107-1639"
"675","1107-16397","1107-1639"
"676","1107-16398","1107-1639"
"677","1107-16399","1107-1639"
"678","1107-16400","1107-1640"
"679","1107-16401","1107-1640"
"680","1107-16402","1107-1640"
"681","1107-16403","1107-1640"
"682","1107-16404","1107-1640"
"683","1107-16405","1107-1640"
"684","1107-16406","1107-1640"
"685","1107-16407","1107-1640"
"686","1107-16408","1107-1640"
"687","1107-16409","1107-1640"
"688","1107-16417","1107-1641"
"689","1107-16419","1107-1641"
"690","1107-16423","1107-1642"
"691","1107-16424","1107-1642"
"692","1107-16426","1107-1642"
"693","1107-16427","1107-1642"
"694","1107-16428","1107-1642"
"695","1107-16441","1107-1644"
"696","1107-16442","1107-1644"
"697","1107-16443","1107-1644"
"698","1107-16457","1107-1645"
"699","1107-16458","1107-1645"
"700","1107-16460","1107-1646"
"701","1107-16461","1107-1646"
"702","1107-16462","1107-1646"
"703","1107-16463","1107-1646"
"704","1107-16466","1107-1646"
"705","1107-16467","1107-1646"
"706","1107-16468","1107-1646"
"707","1107-16469","1107-1646"
"708","1107-16470","1107-1647"
"709","1107-16471","1107-1647"
"710","1107-16472","1107-1647"
"711","1107-16473","1107-1647"
"712","1107-16474","1107-1647"
"713","1107-16475","1107-1647"
"714","1107-16476","1107-1647"
"715","1107-16477","1107-1647"
"716","1107-16478","1107-1647"
"717","1107-16479","1107-1647"
"718","1107-16480","1107-1648"
"719","1107-16481","1107-1648"
"720","1107-16482","1107-1648"
"721","1107-16483","1107-1648"
"722","1107-16484","1107-1648"
"723","1107-16485","1107-1648"
"724","1107-16486","1107-1648"
"725","1107-16487","1107-1648"
"726","1107-16488","1107-1648"
"727","1107-16489","1107-1648"
"728","1107-16490","1107-1649"
"729","1107-16491","1107-1649"
"730","1107-16492","1107-1649"
"731","1107-16493","1107-1649"
"732","1107-16494","1107-1649"
"733","1107-16495","1107-1649"
"734","1107-16496","1107-1649"
"735","1107-16497","1107-1649"
"736","1107-16498","1107-1649"
"737","1107-16499","1107-1649"
"738","1107-16500","1107-1650"
"739","1467-52326","1467-5232"
"740","1467-52327","1467-5232"
"741","1467-52328","1467-5232"
"742","1467-52329","1467-5232"
"743","1467-52330","1467-5233"
"744","1467-52331","1467-5233"
"745","1467-52332","1467-5233"
"746","1467-52333","1467-5233"
"747","1467-52334","1467-5233"
"748","1467-52335","1467-5233"
"749","1467-52336","1467-5233"
"750","1467-52337","1467-5233"
"751","1467-52338","1467-5233"
"752","1467-52339","1467-5233"
"753","1467-52340","1467-5234"
"754","1467-52341","1467-5234"
"755","1467-52342","1467-5234"
"756","1467-52343","1467-5234"
"757","1467-52344","1467-5234"
"758","1467-52346","1467-5234"
"759","1467-52352","1467-5235"
"760","1467-52361","1467-5236"
"761","2367-85801","2367-8580"
"762","2367-85802","2367-8580"
"763","2367-85804","2367-8580"
"764","2367-85809","2367-8580"
"765","2367-85815","2367-8581"
"766","2367-85816","2367-8581"
"767","2367-85818","2367-8581"
"768","2367-85822","2367-8582"
"769","2367-85827","2367-8582"
"770","2367-85837","2367-8583"
"771","1467-52354","1467-5235"
"772","1467-52355","1467-5235"
"773","1467-52356","1467-5235"
"774","1467-52357","1467-5235"
"775","1467-52358","1467-5235"
"776","1467-52359","1467-5235"
"777","1467-52360","1467-5236"
"778","1467-52362","1467-5236"
"779","1467-52363","1467-5236"
"780","1467-52364","1467-5236"
"781","2367-85838","2367-8583"
"782","2367-85839","2367-8583"
"783","2367-85840","2367-8584"
"784","2367-85841","2367-8584"
"785","2367-85842","2367-8584"
"786","2367-85843","2367-8584"
"787","2367-85844","2367-8584"
"788","2367-85845","2367-8584"
"789","2367-85846","2367-8584"
"790","2367-85847","2367-8584"
"791","2367-85848","2367-8584"
"792","2367-85849","2367-8584"
"793","2367-85850","2367-8585"
"794","2367-85851","2367-8585"
"795","2367-85852","2367-8585"
"796","2367-85853","2367-8585"
"797","2367-85854","2367-8585"
"798","2367-85855","2367-8585"
"799","2367-85856","2367-8585"
"800","2367-85857","2367-8585"
"801","2367-85858","2367-8585"
"802","2367-85859","2367-8585"
"803","2367-85860","2367-8586"
"804","2367-85861","2367-8586"
"805","2367-85862","2367-8586"
"806","2367-85863","2367-8586"
"807","2367-85864","2367-8586"
"808","2367-85865","2367-8586"
"809","2367-85866","2367-8586"
"810","2367-85867","2367-8586"
"811","2367-85868","2367-8586"
"812","2367-85869","2367-8586"
"813","2367-85870","2367-8587"
"814","2367-85871","2367-8587"
"815","2367-85872","2367-8587"
"816","2367-85873","2367-8587"
"817","2367-85874","2367-8587"
"818","2367-85875","2367-8587"
"819","2367-85876","2367-8587"
"820","2367-85877","2367-8587"
"821","2367-85878","2367-8587"
"822","2367-85879","2367-8587"
"823","2367-85880","2367-8588"
"824","2367-85881","2367-8588"
"825","2367-85882","2367-8588"
"826","2367-85883","2367-8588"
"827","2367-85884","2367-8588"
"828","2367-85885","2367-8588"
"829","2367-85886","2367-8588"
"830","2367-85887","2367-8588"
"831","2367-85888","2367-8588"
"832","2367-85889","2367-8588"
"833","2367-85890","2367-8589"
"834","2367-85891","2367-8589"
"835","2367-85892","2367-8589"
"836","2367-85893","2367-8589"
"837","2367-85894","2367-8589"
"838","2367-85895","2367-8589"
"839","2367-85896","2367-8589"
"840","2367-85897","2367-8589"
"841","2367-85898","2367-8589"
"842","2367-85900","2367-8590"
"843","1467-52365","1467-5236"
"844","1467-52366","1467-5236"
"845","1467-52367","1467-5236"
"846","1467-52368","1467-5236"
"847","1467-52369","1467-5236"
"848","1467-52370","1467-5237"
"849","1467-52371","1467-5237"
"850","1467-52372","1467-5237"
"851","1467-52373","1467-5237"
"852","1467-52374","1467-5237"
"853","1467-52375","1467-5237"
"854","1467-52376","1467-5237"
"855","1467-52377","1467-5237"
"856","1467-52378","1467-5237"
"857","1467-52379","1467-5237"
"858","1467-52380","1467-5238"
"859","1467-52381","1467-5238"
"860","1467-52382","1467-5238"
"861","1467-52383","1467-5238"
"862","1467-52384","1467-5238"
"863","1467-52385","1467-5238"
"864","1467-52386","1467-5238"
"865","2367-85605","2367-8560"
"866","2367-85606","2367-8560"
"867","2367-85607","2367-8560"
"868","2367-85608","2367-8560"
"869","2367-85609","2367-8560"
"870","2367-85610","2367-8561"
"871","2367-85611","2367-8561"
"872","2367-85731","2367-8573"
"873","2367-85732","2367-8573"
"874","2437-54001","2437-5400"
"875","2437-54002","2437-5400"
"876","2437-54003","2437-5400"
"877","2437-54004","2437-5400"
"878","2437-54005","2437-5400"
"879","2437-54006","2437-5400"
"880","2437-54007","2437-5400"
"881","2437-54008","2437-5400"
"882","2437-54009","2437-5400"
"883","2437-54010","2437-5401"
"884","2437-54011","2437-5401"
"885","2437-54012","2437-5401"
"886","2437-54013","2437-5401"
"887","2437-54014","2437-5401"
"888","2437-54015","2437-5401"
"889","2437-54016","2437-5401"
"890","2437-54017","2437-5401"
"891","2437-54018","2437-5401"
"892","2437-54019","2437-5401"
"893","2437-54020","2437-5402"
"894","2437-54021","2437-5402"
"895","1617-93801","1617-9380"
"896","1617-93802","1617-9380"
"897","1617-93803","1617-9380"
"898","1617-93804","1617-9380"
"899","1617-93805","1617-9380"
"900","1617-93808","1617-9380"
"901","2437-54023","2437-5402"
"902","1617-93806","1617-9380"
"903","1617-93807","1617-9380"
"904","1617-93809","1617-9380"
"905","1237-28506","1237-2850"
"906","1237-28514","1237-2851"
"907","1237-28515","1237-2851"
"908","1237-28516","1237-2851"
"909","1237-28517","1237-2851"
"910","1237-28518","1237-2851"
"911","1237-28519","1237-2851"
"912","1237-28520","1237-2852"
"913","1237-28521","1237-2852"
"914","1237-28522","1237-2852"
"915","1237-28526","1237-2852"
"916","1237-28528","1237-2852"
"917","1237-28538","1237-2853"
"918","1237-28554","1237-2855"
"919","1237-28581","1237-2858"
"920","1357-20101","1357-2010"
"921","1357-20110","1357-2011"
"922","1357-20116","1357-2011"
"923","1357-20117","1357-2011"
"924","1357-20118","1357-2011"
"925","1357-20122","1357-2012"
"926","1357-20123","1357-2012"
"927","1357-20125","1357-2012"
"928","1357-20129","1357-2012"
"929","1357-20130","1357-2013"
"930","1357-20132","1357-2013"
"931","1357-20133","1357-2013"
