"","location"
"778","N230"
"779","N187"
"780","N175"
"781","N232"
"782","N119"
"783","n015"
"784","1/4 mi S of Nwa"
"785","SE Pd1"
"786","E of Pd1, W of Pd140"
"787","??"
"788","West of Pd40"
"789","1/2 mi. SE of Main Road"
"790","Awol SL"
"791","S of 5338 SL"
"792","S of 5338 SL ON E side of Pd SL"
"793","Awol"
"794","NE of Labreques (S of 5338) SL"
"795","S of 5335 JF, MD"
"796","Near 2940 freq SL"
"797","Same pond as 2940 SL"
"798","NE of Lebreques  Acting Broody SL"
"799","n460"
"800","N/A"
"801","P2943"
"802","P4857"
"803","N078"
"804","N9"
"805","P1"
"806","P90"
"807","Pd140 - orange? green?"
"808","Pd140 "
"809","AWAL"
"810","N of Yard? Negative Pd1"
"811","Pd1 NE"
"812","SE end Pd1"
"813","Island"
"814","N of NWA"
"815","Island Pd1"
"816","CE of Island"
"817","S end Island near fence"
"818","Pd1 on Island"
"819","S end Island"
"820","NE end Pd1"
"821","Pd N of quanset"
"822","Pd N of fence N of 1st insect trap"
"823","Pd N of quanset along road"
"824","NW side Pd1"
"825","Pd N of Quanset"
"826","Pd1 Island"
"827","NW share of island"
"828","NW end Pd1"
"829","Possibly on island"
"830","NW end island"
"831","on NW corner of island"
"832","NW corner of island"
"833","Pd90 N end at bait traps"
"834","NW share of island Pd1"
"835","NW end Island "
"836","Nest area pond #1"
"837","On nest Pd1 Island"
"838","On NW side Island nest?"
"839","Found Dead near nest eggs untouched ""Dead"""
"840","Pd94"
"841","N48"
"842","nest area Pd48"
"843","Pd90 NW"
"844","E of Pd90, S of 6751, E of 92"
"845","Pd90 (Swend)"
"846","Pd90 SR only saw colours/not...?"
"847","Pd90 NW side"
"848","Pd90 - South Central Broods Obs"
"849","NW tip Pd90"
"850","Pd90 (NW side)"
"851","W end of Pd90"
"852","Pd905"
"853","Pd90 NW end"
"854","Pd90 area"
"855","Lg od? S of area along field??"
"856","SE of Pd5338"
"857","Could it final?"
"858","P133"
"859","P137"
"860","N137"
"861","N11"
"862","E. side Island"
"863","N09"
"864","n09"
"865","1530"
"866","n12"
"867","n72"
"868","Pd1 N side of island"
"869","W island"
"870","South of Pd 5338"
"871","Pd1 W Side"
"872","Island Nest II 26"
"873","Pd 86"
"874","East side Pd1"
"875","Pd7144"
"876","Pd01"
"877","N018 (w pd1)"
"878","N3"
"879","N end Island"
"880","SW end Pd1"
"881","S end Pd66"
"882","Island N II 20"
"883","East Pd1"
"884","Pd1 w"
"885","Pd1 N tip ISL"
"886","Pd1 N west"
"887","N share Isl"
"888","CW side Pd1"
"889","Pd1 N end"
"890","N end in Pd1 uplands"
"891","Pd96"
"892","Pd125 N"
"893","Pd125 S"
"894","SE Pd125 S"
"895","Pd125 S OR N"
"896","Brood Pd125 - no sight"
"897","Pd125 N or S"
"898","S end Pd125"
"899","Pd125 N (0733-0909)"
"900","E side Pd125 N"
"901","Pd124 (visual)"
"902","Pd124"
"903","NE end of Pd97"
"904","E side Pd97"
"905","AWOL"
"906","N17"
"907","W of  Pd25"
"908","Pd25 vicinity"
"909","E of pd35 22m. E of nest II 17"
"910","E of pd35"
"911","on nest E of pd35"
"912","N of pd35"
"913","NE of pd35"
"914","ON NEST"
"915","NEST AREA"
"916","pd35 alone"
"917","pd26"
"918","NE of pd35 (ON NEST)"
"919","on SE end Pd26"
"920","Midway between PD67+66"
"921","SE Pd67"
"922","SW Pd67"
"923","S end Pd67 (possiby in uplands)"
"924","S end Pd67"
"925","N end Pd67"
"926","Pd67 CW side"
"927","Pd67 SW end"
"928","Pd67 N end"
"929","Pd67 NE side"
"930","Pd67 N"
"931","Pd67 CENTER"
"932","N62"
"933","Pd1 N site"
"934","S end island"
"935","S end Pd1"
"936","SE side Pd1"
"937","SW end of Pd1"
"938","Pd1 S end"
"939","Pd1 "
"940","N est 125"
"941","N146 island"
"942","Pd 90"
"943","N 195 ISL"
"944","on island"
"945","SW end Island "
"946","SE Island"
"947","no sighting"
"948","NE end Pd1 no sighting"
"949","Just off the SE end of Island"
"950","S end of Pd1"
"951","Pd1 SW end"
"952","Pd1 W end and SE side"
"953","Pd1 NE side"
"954","Pd6? no sight"
"955","Pd1 central east side "
"956","E side Pd1"
"957","SW side Pd1"
"958","SW island"
"959","Couldn't find"
"960","N24 ISL"
"961","ISLA #25"
"962","Island Nest 27"
"963","1/2 Mi SE Of Bouissiarie's"
"964","ISLAND Nest #36"
"965","Pd 6631"
"966","Pd105 watched from 1445-1615"
"967","Pd84 no sighting"
"968","field feeding 2 male following her"
"969","N. labe* of Pd N of 6642"
"970","No sighting Pd N of 6642"
"971","2 Pd N of Pd 6642"
"972","SE of area"
"973","W side of road in 2nd pd S house S of skunk pens"
"974","E side of road in 2nd pd S house S of skunk pens"
"975","S of Bouissier's Farm W side road"
"976","E side road Bouissieres SE"
"977","Weak signal SE of SE corner of study area"
"978","S of Bouissier's on E side road"
"979","E of Bouissier's on E side road (not sure where)"
"980","N330"
"981","Skomars Pond"
"982","feild by 5056"
"983","W Pd28"
"984","E Pd26"
"985","Skomars Pd"
"986","10 m. E swallow box 110 SW Pd 20 W"
"987","S of Pd26 near road"
"988","Pd N of NWA N of saptives "
"989","Pd N of duck pen"
"990","Brood ob nothing seen"
"991","NW finger* visual of pd N of duck pen"
"992","SW corner of pd N of duck pen"
"993","Central Pd N of duck pen"
"994","No sighting"
"995","NW duck pen"
"996","SW corner of large Pd N of captives "
"997","S end corner of large Pd N of captives "
"998","S end caught two of her duckling"
"999","Pd N of captive"
"1000","Pd99"
"1001","N of Pd128"
"1002","Visual on nest"
"1003","S of house S of SE corner of NWA"
"1004","W of house S of SE corner of NWA (in pond)"
"1005","W of house S of SE corner of NWA (visual from distance)"
