"","band_num","SPECIES","DATE","COORDINATES"
"140","865-18506","BWTE","6/17/1986","52.08333 -106.08333"
"141","865-18508","BWTE","6/19/1986","52.08333 -106.08333"
"142","865-18509","BWTE","6/20/1986","52.08333 -106.08333"
"143","865-18511","BWTE","6/24/1986","52.08333 -106.08333"
"144","865-18512","BWTE","6/24/1986","52.08333 -106.08333"
"145","865-18514","BWTE","6/27/1986","52.08333 -106.08333"
"146","865-18532","BWTE","7/14/1986","52.08333 -106.08333"
"147","865-18533","BWTE","7/16/1986","52.08333 -106.08333"
"148","865-18540","BWTE","7/16/1986","52.08333 -106.08333"
"149","865-18544","BWTE","7/16/1986","52.08333 -106.08333"
"150","865-18559","BWTE","7/29/1986","52.08333 -106.08333"
"151","865-18571","BWTE","7/31/1986","52.08333 -106.08333"
"152","865-18539","BWTE","7/16/1986","52.08333 -106.08333"
"153","865-18742","BWTE","8/20/1986","52.08333 -106.08333"
"154","865-18746","BWTE","8/20/1986","52.08333 -106.08333"
"155","865-18536","BWTE","7/16/1986","52.08333 -106.08333"
"156","865-18581","BWTE","8/12/1986","52.08333 -106.08333"
"157","865-18589","BWTE","8/12/1986","52.08333 -106.08333"
"158","865-18594","BWTE","8/13/1986","52.08333 -106.08333"
"159","865-18596","BWTE","8/13/1986","52.08333 -106.08333"
"160","865-18661","BWTE","8/28/1986","52.08333 -106.08333"
"161","865-18763","BWTE","8/22/1986","52.08333 -106.08333"
"162","865-18665","BWTE","8/30/1986","52.08333 -106.08333"
"163","775-74198","BWTE","7/23/1985","52.25 -106.08333"
"164","865-18668","BWTE","8/31/1986","52.08333 -106.08333"
"165","865-18675","BWTE","6/7/1987","52.08333 -106.08333"
"166","865-18678","BWTE","6/7/1987","52.08333 -106.08333"
"167","865-18679","BWTE","6/7/1987","52.08333 -106.08333"
"168","865-18680","BWTE","6/7/1987","52.08333 -106.08333"
"169","865-18684","BWTE","6/26/1987","52.08333 -106.08333"
"170","865-18686","BWTE","7/2/1987","52.08333 -106.08333"
"171","865-18689","BWTE","7/8/1987","52.08333 -106.08333"
"172","865-18690","BWTE","7/10/1987","52.08333 -106.08333"
"173","865-18691","BWTE","7/11/1987","52.08333 -106.08333"
"174","865-18700","BWTE","7/21/1987","52.08333 -106.08333"
"175","865-18805","BWTE","7/21/1987","52.08333 -106.08333"
"176","865-18833","BWTE","7/23/1987","52.08333 -106.08333"
"177","865-18834","BWTE","7/23/1987","52.08333 -106.08333"
"178","865-18878","BWTE","8/27/1987","52.08333 -106.08333"
"179","865-18935","BWTE","5/11/1988","52.08333 -106.08333"
"180","865-18940","BWTE","6/13/1988","52.08333 -106.08333"
"181","865-18942","BWTE","6/14/1988","52.08333 -106.08333"
"182","865-18943","BWTE","6/17/1988","52.08333 -106.08333"
"183","865-18944","BWTE","6/18/1988","52.08333 -106.08333"
"184","755-49218","BWTE","6/6/1988","52.08333 -106.08333"
"185","755-49219","BWTE","6/25/1988","52.08333 -106.08333"
"186","755-49220","BWTE","6/28/1988","52.08333 -106.08333"
"187","755-49230","BWTE","7/22/1988","52.08333 -106.08333"
"188","755-49285","BWTE","7/29/1988","52.08333 -106.08333"
"189","755-49287","BWTE","7/29/1988","52.08333 -106.08333"
"190","755-49297","BWTE","8/8/1988","52.08333 -106.08333"
"191","755-49288","BWTE","7/29/1988","52.08333 -106.08333"
"192","755-49294","BWTE","8/8/1988","52.08333 -106.08333"
"193","755-49296","BWTE","8/8/1988","52.08333 -106.08333"
"194","755-49308","BWTE","8/10/1988","52.08333 -106.08333"
"195","755-49377","BWTE","8/3/1989","52.08333 -106.08333"
"196","755-49385","BWTE","8/3/1989","52.08333 -106.08333"
"197","755-49369","BWTE","8/3/1989","52.08333 -106.08333"
"198","755-49350","BWTE","7/6/1989","52.08333 -106.08333"
"199","755-49348","BWTE","6/20/1989","52.08333 -106.08333"
"200","755-49253","BWTE","7/25/1988","52.08333 -106.08333"
"201","755-49386","BWTE","8/3/1989","52.08333 -106.08333"
"202","755-49371","BWTE","8/3/1989","52.08333 -106.08333"
"203","755-49496","BWTE","",""
"204","755-49497","BWTE","6/23/1990","52.08333 -106.08333"
"205","755-49247","BWTE","7/25/1988","52.08333 -106.08333"
"206","755-49499","BWTE","6/27/1990","52.08333 -106.08333"
"207","855-43201","","",""
