orig_location,location_found,new_location_name,gen_location
N end Pd1,TRUE,pond 1,within park
NE end Pd1,TRUE,pond 1,within park
NW side Pd1,TRUE,pond 1,within park
Pd1 Island,TRUE,pond 1,within park
Pd5056,TRUE,pond 50,within park
NW end Pd1,TRUE,pond 1,within park
Pd90 N end at bait traps,TRUE,pond 90,within park
NW share of island Pd1,TRUE,pond 1,within park
Nest area pond #1,TRUE,pond 1,within park
On nest Pd1 Island,TRUE,pond 1,within park
Pd94,TRUE,pond 94,within park
nest area Pd48,TRUE,pond 48,within park
Pd90,TRUE,pond 90,within park
Pd90 NW,TRUE,pond 90,within park
"E of Pd90, S of 6751, E of 92",TRUE,pond 90,within park
Pd90 (Swend),TRUE,pond 90,within park
Pd90 SR only saw colours/not...?,TRUE,pond 90,within park
Pd90 NW side,TRUE,pond 90,within park
Pd90 - South Central Broods Obs,TRUE,pond 90,within park
NW tip Pd90,TRUE,pond 90,within park
Pd90 (NW side),TRUE,pond 90,within park
W end of Pd90,TRUE,pond 90,within park
Pd905,TRUE,pond 90,within park
Pd90 NW end,TRUE,pond 90,within park
Pd90 area,TRUE,pond 90,within park
P133,TRUE,pond 133,within park
P137,TRUE,pond 137,within park
Pd1 N side of island,TRUE,pond 1,within park
Pd1 W Side,TRUE,pond 1,within park
Pd 86,TRUE,pond 8,within park
